SentenceID	English	Arabic	SentenceType	SwitchTranslation	Comment
A-11023	Excuse me, where is Rue Piccolo and "The Golden Corkscrew"?	عذرا ، أين يوجد شارع ( بيكولو ) و " المفتاح الذهبي " ؟	B-N		
A-11024	Excuse me, which floor is the audition on?	. عفوا - اى طابق يوجد به الاختبار ؟	B-N		
A-11025	Excuse me, young lady.	اعذريني ، آنستي .		HARD	آنستي
A-11026	Excuse me,Director Vance.	اعذرني أيها " المدير فانس " عليك سماع هذا	B-M	اعذريني أيتها " المديرة فانس " عليك سماع هذا	
A-11027	Excuse me,mr. Mcenroe.	" عذرا سيد " ماكرون	B-M	" عذرا سيدة " ماكرون	
A-11028	Excuse me.	! عفوا	B-N		
A-11029	Excuse me.	- اسمحى لى .	B-F	- اسمح لى .	
A-11030	Excuse me.	- ميرلوس -		HARD	Ambigious
A-11031	Excuse me.	لو سمحت اين قسم الحيوانات الاليفة ؟	N-B		
A-11032	Excuse me.	ومع أخرى إذا كانت عادية بعد إذنكم	N-M!	ومع أخرى إذا كانت عادية بعد إذنكن	
A-11033	Excuse me.	اسمح لي .	B-M	اسمحي لي .	
A-11034	Excuse me.	عفوا نعم ؟	B-N		
A-11035	Excuse me.	ماذا هناك ؟	N-N		
A-11036	Excuse me.	ارجو المعذره	B-N		
A-11037	Excuse me.	اعتذر	B-N		
A-11038	Excuse me.	عفوا . .	B-N		
A-11039	Excuse me.	معذرة يا شباب . .		HARD	
A-11040	Excuse me.	تعني ، الآنسة لوبيز . . .		HARD	Ambigious (2nd/3rd) تعني
A-11041	Excuse me.	لمتجر المجوهرات العتيقة و ما شابه اعذروني	B-M!	لمتجر المجوهرات العتيقة و ما شابه اعذرنني	
A-11042	Excuse me.	معذرة	B-N		
A-11043	Excuse me.	معذرتا . . . . .	B-S		معذرتا >>> معذرة
A-11044	Excuse me.	إئذنوا لي	B-M!	إئذنن لي	
A-11045	Excuse me.	إسمحوا لنا .	B!-M!	إسمحن لنا .	
A-11046	Excuse me.	إعذرني !	B-M	إعذريني !	
A-11047	Excuse me.	معذرتا ، . . .	B-S		معذرتا >>> معذرة
A-11048	Excuse me.	اعذرونى	B-M!	اعذرننى	
A-11049	Excuse me.	اعذرينى	B-F	اعذرنى	
A-11050	Excuse me.	اعذروني امرأه : أسأل عن الأنشطه النهاريه		HARD	Bad translation اعذروني امرأه
A-11051	Excuse me.	عذرا ، سمعتكما بالمصادفة وأنتما تسألان الناس ، إن كانوا يريدون قطة ،	B-B!		
A-11052	Excuse me.	إعذريني !	B-F	إعذرني !	
A-11053	Excuse me.	عذرا !	B-N		
A-11054	Excuse me. ...the random acts of life?	- أفعال الحياة العشوائية ؟	N-N		
A-11055	Excuse me. Booth.	المعذرة ، ( بوث )	B-B		Bad translation
A-11056	Excuse me. Excuse me.	يا الهي . عذرا	B-M	يا الهتي . عذرا	
A-11057	Excuse me. Excuse me.	من فضلكم من فضلكم	N-M!	من فضلكن من فضلكن	
A-11058	Excuse me. Excuse me.	اعذرني لو سمحت	B-M	اعذريني لو سمحت	
A-11059	Excuse me. Hai.	معذرة ، أهلا .	B-N		
A-11060	Excuse me. Hey.	أستأذنك ، مرحبا .	B-B		
A-11061	Excuse me. Hi.	معذرة ، أهلا .	B-N		
A-11062	Excuse me. Hi.	المعذرة .	B-N		
A-11063	Excuse me. I have to develop these.	اسمحي لي ، علي ان احمض هذا	B-F	اسمح لي ، علي ان احمض هذا	
A-11064	Excuse me. I said "very displeased," and I used my cowboy voice, so...	لقد قلت " مستاء جدا " و استخدمت نبرة رعاة البقر خاصتي ، لذا . . .	M-N	لقد قلت " مستاءة جدا " و استخدمت نبرة رعاة البقر خاصتي ، لذا . . .	
A-11065	Excuse me. I'm a police officer.	. عذرا أنا ضابط شرطة	M-N	. عذرا أنا ضابطة شرطة	
A-11066	Excuse me. I'm looking for "Hermano."	معذرة ، أنا أبحث عن شخص يدى " هيرمانو "	B-S		يدى >>> يدعى
A-11067	Excuse me. I'm sorry.	أرجو المعذرة ، آسف	M-N	أرجو المعذرة ، آسفة	
A-11068	Excuse me. I'm sorry. Excuse me.	. . . لو سمحت أنا آسف أعذرني	M-M	. . . لو سمحت أنا آسفة أعذرني	
A-11069	Excuse me. Inspector Mallory, LAPD.	( معذرة ، أنا المحقق ( مالوري من .	M-N	( معذرة ، أنا المحققة ( مالوري من .	
A-11070	Excuse me. Is this Ourin Public High School?	هل هذه ثانوية أورين الخاصة ؟	N-N		
A-11071	Excuse me. Let me just...	استميحك عذرا . . . دعنيفقط	B-S		دعنيفقط
A-11072	Excuse me. Mark?	عفوأ ، ( مارك ) ؟	B-B		
A-11073	Excuse me. My bad.	إعذرني نفاية	B-M	إعذريني نفاية	Bad translation
A-11074	Excuse me. Not good enough?	المعذرة ، لست جيدا كفاية ؟	M-N	المعذرة ، لست جيدة كفاية ؟	
A-11075	Excuse me. Oi. Excuse me.	عفوا	B-N		
A-11076	Excuse me. Too much body spray.	الكثير من مزيل الرائحة !	N-N		
A-11077	Excuse me. What kind of procedure is that up there?	عفوا ، أي عملية تجرى هنا ؟	B-N		
A-11078	Excuse me.. tea, coffee?	المعذرة . . شاي أم قهوة ؟	B-N		
A-11079	Excuse me...	أعتذر . . .	B-N		
A-11080	Excuse me... Excuse my... impertinence, but it's 8:00.	عفوا عذرا لوقاحتي ؛ ولكنها الثامنة	B-N		
A-11081	Excuse me.I need a favor.	عذرا أريد خدمة	B-N		
A-11082	Excuse me?	، عذرا	B-N		
A-11083	Excuse me?	- أعذرني ؟	B-M	- أعذريني ؟	
A-11084	Excuse me?	- اعذرني ؟	B-M	- اعذريني ؟	
A-11085	Excuse me?	- المعذرة ؟ !	B-N		
A-11086	Excuse me?	- أستميحك عذرا ؟	B-B		
A-11087	Excuse me?	- معذرة ؟	B-N		
A-11088	Excuse me?	، أنتم تذهبون في الإتجاه الخاطئ	N-M!	، أنتن تذهبن في الإتجاه الخاطئ	
A-11089	Excuse me?	عفوا سأعتبر ذلك إجابة بالنفي	B-N		
A-11090	Excuse me?	أستميحك عذرا ؟	B-B		
A-11091	Excuse me? I said why hasn't this intersection been sealed off?	- قلت لماذا لم يتم إغلاق هذا التقاطع ؟	B-N		Bad translation
A-11092	Excuse my clothes.	اعتذر عن ملابسي	B-N		
A-11093	Experience will teach me that as well.	الخبره سوف تعلمني هذا أيضآ .	B-N		
A-11094	Explain how that's gonna help me solve two murders.	إشرحي كيف هذا يساعدني على حل جريمتين	B-F	إشرح كيف هذا يساعدني على حل جريمتين	
A-11095	Explain that to me.	الذي يؤمن بالدين فسر لى هذا	B-M	الذي يؤمن بالدين فسري لى هذا	Bad translation
A-11096	Explain that we suffered a major penetration here, one that endangers the security of Europe and the United States, and I am the best goddamn person to fix it.	اشرح أننا عانينا اختراقا جسيما هنا اختراقا يهدد أمن ( أوربا ) و ( الولايات المتحدة ) وأنا أفضل شخص موجود لمعالجة ذلك		HARD	
A-11097	Exquisite. I mean, talk about perfection.	فاتنة ، أعني ، أتحدث عن الكمال .		HARD	Ambigious (2nd/3rd) فاتنة
A-11098	Eyjafjallajokull. Excuse me?	عذرا	B-N		
A-11099	FOR THE WAY I ACTED AT THE RECEPTION	على طريقة تصرفي في حفل الاستقبال	B-N		
A-11100	FORGIVE ME.	سامحيني	B-F	سامحني	
A-11101	FSB use my secrets against me.	" أف - بى - سي " يستخدمونه ضدي .	B-N		
A-11102	Fabri, Tommy, give me hand here.	( فابري ) ، ( تومي ) ، ساعدوني .		HARD	Talk to more than one person
A-11103	Fact is, I don't rightly know what she was.	الحقيقة ، أنني لا أعلم ماذا كانت	B-N		
A-11104	Faint now, dead. Know what I mean?	كأنني فقدت الوعي أو مت أتعرف ما أعنيه ؟	B-M	كأنني فقدت الوعي أو مت أتعرفين ما أعنيه ؟	
A-11105	Fales is here searching my office.	) . إن ( فايلز ) هنا يفتش مكتبي	B-N		
A-11106	Family emergency. My aunt is... fine.	أمور عائلية ، عمتي . . .	N-F	أمور عائلية ، عمي . . .	
A-11107	Fan enough to come to Geneva to watch me try to buy the company?	بما يكفي للقدوم إلى ( جنيف ) لرؤيتي أحاول شراء الشركة ؟	B-N		
A-11108	Far as I know, everybody loved the guy.	على حد معرفتي فالجميع قد أحبه	B-N		
A-11109	Far away from here. And I'm not sure if I'm goin' back.	بعيد جدا من هنا ، وأنا لست متأكدة من عودتي	F-N	بعيد جدا من هنا ، وأنا لست متأكدا من عودتي	
A-11110	Far out! Is it me or is it cold in here?	هل هو أنا أم أن المكان بارد ؟	M-N	هل هي أنا أم أن المكان بارد ؟	
A-11111	Father Romanov and I decided together.	الأب رومانوف وأنا قررنا معا .		HARD	CONJ
A-11112	Father! - It's my father! - Thank goodness!	إذا لابد أن لا أضيع وقتي معكما .	B-B!		لابد
A-11113	Father, I did nothing! This guy's rousting me!	أيها الأب ، ساعدني لم أفعل شيئا ، هذا الرجل يقسو علي من دون سبب	B-M	أيتها الأم ، ساعديني لم أفعل شيئا ، هذا الرجل يقسو علي من دون سبب	
A-11114	Father, I don't like her condition.	أبي ، لست مطمئن على حالتها	M-M	أبي ، لست مطمئنة على حالتها	
A-11115	Father, I've got to go see a sick child.	ابي ، علي الذهاب لرؤية طفل مريض	B-M	امي ، علي الذهاب لرؤية طفل مريض	
A-11116	Father, answer me.	أبتاه ، أجبني ، ماذا بالداخل ؟	B-M	أماه ، أجيبيني ، ماذا بالداخل ؟	
A-11117	Father, my name is Ripley. I'm with the FBI.	ابتاه ، انا ريبلى ، من المباحث	B-M	اماه ، انا ريبلى ، من المباحث	
A-11118	Father, this isn't about me.	أبتاه ، هذا الأمر ليس عني	B-M	اماه ، هذا الأمر ليس عني	
A-11119	Father? I have tried, have I not?	لقد حفظته يا أبتى ، أليس كذلك ؟	B-M	لقد حفظته يا أمى ، أليس كذلك ؟	
A-11120	Fear not. I am the strongest warrior in the...	لا تخافوا . أنا أقوى محارب في . . .	M-M!	لا تخافوا . أنا أقوى محاربة في . . .	
A-11121	Fear of letting people know the real me.	خوف أن أدع الناس تعرف حقيقتي	B-N		
A-11122	Fear protects me.	الخوف يحميني	B-N		
A-11123	Fearful he has taken me from myself.	لقد تملكني الخوف	B-N		
A-11124	Feed me, Seymour.	إطعام لي ، سيمور .	B-B		Bad translation
A-11125	Feel for the rib. Oh,my god. It's definitely brokenand disgusting.	تحسس الضلع - يا الهي ، انه بالتأكيد مكسور و مقرف -		HARD	تحسس يا الهي
A-11126	Feel free to tell me to back off again, but where is Peter Dunlop?	لا تتردد أن تخبرني بالتراجع مرة أخرى ، لكن أين ( بيتر دنلوب ) ؟	B-M	لا تترددي أن تخبريني بالتراجع مرة أخرى ، لكن أين ( بيتر دنلوب ) ؟	
A-11127	Feel like I'm gonna go meet Dumbledore. Hope I get Gryffindor.	أشعر كأني سأقابل " * دمبلدور " * ساحر هاري بوتر * آمل أن أصل ل " * * جريفيندور " * * منزل في هاري بوتر .	B-N		
A-11128	Feel my Bliss.	اشعروا . . . بنعمتي .	B-M!	اشعرن . . . بنعمتي .	
A-11129	Feel my pain.	إشعر بألمي .	B-M	إشعري بألمي .	
A-11130	Feel safe, secure. That was my dream.	ليشعر بالأمن ، والحمايه كان ذلك حلمي	B-N		
A-11131	Feel the heartbeat in my mind	؟ أشعر بدقات القلب في عقلي ؟	B-N		
A-11132	Feels like I should be part...	أشعر أنه يجب أن أكون جزء من . .	B-N		
A-11133	Feels like someone's taking a crowbar to my heart.	أشعر وكأن شخصا يفتح قلبي بعتلة .	B-N		
A-11134	Fell on my ass? !	سقطت على مؤخرتي ؟		HARD	Ambigious (1st/2nd/3rd) سقطت
A-11135	Fellow witches of New Orleans, the ancestors call us here today to bear witness as I accept the role of regent to our people.	يا رفاقي سحرة ( نيو أورلينز ) الأسلاف يدعوننا هنا اليوم لنشهد قبولي منصب الوصية على قومنا .		HARD	رفاقي
A-11136	Felt like I made it too sweet.	يبدو بأنني جعلتها حلوة زيادة	B-N		
A-11137	Felt me the same as that night.	كنت أشعر أنني قد فعلت هذا في تلك الليلة	B-N		
A-11138	Femme Fatales 1x09 Help Me, Rhonda Original Air Date on July 8, 2011	المرأة المميتة الموسم الأول الحلقة التاسعة ساعديني روندا	B-F	المرأة المميتة الموسم الأول الحلقة التاسعة ساعدني روندا	
A-11139	Fetch me something gay.	أجلبي لي ملابس مثلية .	B-F	أجلب لي ملابس مثلية .	
A-11140	Few days later, I hear she's missing.	ربما بعد سنوات سمعت أنها مفقودة	B-N		
A-11141	Fi, I have to go.	في " يجب أن أذهب "	B-B		
A-11142	Fighting for my honour.	تقاتل من أجل شرفي	B-N		
A-11143	Fighting the case, he died first then my father and then mother, along went the entire bank balance.	صارع الحالة ، فمات أولا ثم أبي وبعد ذلك أمي ، لقد رحل كامل الرصيد المصرفي .	B-N		Bad translation
A-11144	Figure I'm gonna be here a lot, we might as well get to know one another.	ظننت . . ب . . بما أني سأكون هنا كثيرا	B-N		Bad translation
A-11145	Fill her up. I guess I'll go stretch my legs.	املأها ، سأذهب لتمديد ساقي	B-M	املئيها ، سأذهب لتمديد ساقي	
A-11146	Fill me in here. What's up?	أخبرني ، ما الأخبار ؟	B-M	أخبريني ، ما الأخبار ؟	
A-11147	Finally someone I can deal with.	أخيرا أحد أستطيع التعامل معه	B-N		
A-11148	Finally, I don't have to take it.	اخيرا ، لست مضطرا لأخذه	M-N	اخيرا ، لست مضطرة لأخذه	
A-11149	Finally, I realized that some people are just bad.	وبنهاية المطاف ، اكتشفت أن بعض الناس مقدر لهم الشر	B-N		
A-11150	Finally, do not, under any circumstances, speak to me when my shows are on.	و أخيرا ، لا تفعل تحت أي ظرف من الظروف بالتحدث معي عندما أشاهد برنامجي الخاص	B-M	و أخيرا ، لا تفعلي تحت أي ظرف من الظروف بالتحدث معي عندما أشاهد برنامجي الخاص	
A-11151	Finally, someone I can be myself with.	اخيرا وجدت شخصا يمكنني ان اكون على طبيعتي معه بخصوص هذا . .	B-N		
A-11152	Find a way to give my people paradise and life... or the others are gonna die too... including Nina and Cameron.	قم بإيجاد طريقه لإعطاء جماعتي الجنه والحياه او سيموت الباقون بالاضافة الى نينا وكاميرون	B-M	قومي بإيجاد طريقه لإعطاء جماعتي الجنه والحياه او سيموت الباقون بالاضافة الى نينا وكاميرون	
A-11153	Find me a drink.	أعطنى مشروبا	B-M	أعطينى مشروبا	
A-11154	Find my antidote.	اعثر على الترياق	B-M	اعثري على الترياق	
A-11155	Find my fucking money.	أعثروا على نقودي اللعينة .	B-M!	أعثرن على نقودي اللعينة .	
A-11156	Find out what his intentions are. I don't mean his immediate intentions.	حاول ان تعرف ما هى نواياه ليست نواياه الحالية	N-M	حاولي ان تعرفي ما هى نواياه ليست نواياه الحالية	Bad translation
A-11157	Find out where he stashed my money.	اكتشفي أين خبأ مالي	B-F	اكتشف أين خبأ مالي	
A-11158	Find out where they're holding him and take me in.	أريدك أن تعرفي أين يحتجزونه ، وتأخذيني إليه .	B-F	أريدك أن تعرف أين يحتجزونه ، وتأخذني إليه .	
A-11159	Fine by me.	لابأس	N-N		
A-11160	Fine by me. Good riddance.	جيد لي تخلصت منه	B-N		
A-11161	Fine! Now, I'll throw it back.	الآن ، أنا سأرميه خلفي .	B-N		
A-11162	Fine! That works for me.	حسنا ، هذا جيد بالنسبة لي	B-N		
A-11163	Fine, I Will.	حسنا .	B-N		
A-11164	Fine, I agree. But, not because I want money, no.	حسنا موافق لكن ليس لأني أريد نقودا ، لا	M-N	حسنا موافقة لكن ليس لأني أريد نقودا ، لا	
A-11165	Fine, I am scared.	أنا خائف	M-N	أنا خائفة	
A-11166	Fine, I guess. I wasn't in that long.	جيد ؛ أعتقد ذلك ؛ لم أكن منذ مدة طويلة	B-N		
A-11167	Fine, I may have told her that she smells like my mom.	حسن ، لعلي أخبرتها بأن رائحتها تشبه رائحة أمي	B-N		Bad translation
A-11168	Fine, I suppose.	أفترض أنهم بخير .	B-N		
A-11169	Fine, I'll call them, but I'm not leaving here.	حسنا ، سوف أتصل بهم ، لكن أنا لن أرحل من هنا	B-N		
A-11170	Fine, I'll delete the text. But how am I supposed to get into Lily's room?	حسنا ، سأمسح الرسالة ولكن كيف أدخل غرفة ( ليلي ) ؟	B-N		
A-11171	Fine, I'll get my stuff.	لا بأس ، سأجلب أشيائي	B-N		
A-11172	Fine, I'll get the phone. Stay put.	حسنا ، أنا سأحضره ابق مكانك	B-M	حسنا ، أنا سأحضره ابقي مكانك	
A-11173	Fine, I'll just go back here in Mexican jail.	حسنا ، سأذهب للجلوس في زنزانتي المكسيكية	B-N		
A-11174	Fine, I'll make an exception. Shoot.	حسنا ، سأقوم باستثناء أفصح	B-N		
A-11175	Fine, alright. I heard she might be pregnant, alright?	حسنا ، سمعت أنها ربما حامل .	B-N		
A-11176	Fine, fine, fine, fine, fine, I apologize.	جيد ، جيد ، جيد أنا أعتذر	B-N		
A-11177	Fine, fine, it wasn't me.	حسن ، حسن ، لم أكن أنا	B-N		
A-11178	Fine, let's go get 'em. Just tell me where I'm going.	حسنا لنذهب و نحضرها فقط اخبرني إلى اين سأذهب		HARD	
A-11179	Fine, sweetheart. I'm fine.	حسن ، يا حبيبتي انني بخير	B-F	حسن ، يا حبيبي انني بخير	
A-11180	Fine, then I am ready to marry Shinu.	- نعم . حسنا . .	B-N		
A-11181	Fine. But I need to be a priority too sometimes.	حسنا لكن أريد أن تكون لي أولوية بعض الأحيان	B-N		
A-11182	Fine. But please tell me that Conrad has no idea someone cut the brakes.	لا بأس ، لكن أخبرني رجاء بأن ( كونراد ) لا يدرك أن أحدا قام بقطع المكابح	B-M	لا بأس ، لكن أخبريني رجاء بأن ( كونراد ) لا يدرك أن أحدا قام بقطع المكابح	
A-11183	Fine. I love road trips.	لا بأس أنا أحب الرحلات	B-N		
A-11184	Fine. I quit.	حسنا ، انا مستقيل .	M-N	حسنا ، انا مستقيلة .	
A-11185	Fine. I shall look like a man.	حسنا على ان ابدو مثل الرجال	B-N		
A-11186	Fine. I think we understand each other then.	حسنا ، أعتقد أننا فهمنا بعض الآن		HARD	
A-11187	Fine. I won't bother thinking.	حسنا . لا اريد أن اضايقك	B-B		
A-11188	Fine. I'd hate to break upa matched set anyway.	أكره أن أقطع عليكما خلوتكما	B-B!		
A-11189	Fine. I'll get an unscented polish.	حسنا سأئتي بمنظف بدون رئحه	B-S		سأئتي - رئحه
A-11190	Fine. I'll get back to examining the girls.	حسنا ، سأرجع لأفحص الفتيات	B-N		
A-11191	Fine. I'll go fourth.	حسنا ، سوف أكون رابعا	M-N	حسنا ، سوف أكون رابعة	
A-11192	Fine. I'll go to Mars but I won't have any fun.	حسنا ، سأذهب للمريخ لكني لن أستمتع أبدا	B-N		
A-11193	Fine. I'll take it.	حسنا ، سأخذه	B-N		
A-11194	Fine. I'm going to meet Trevor.	حسنا ، سأذهب لمقابلة تريفور	B-N		
A-11195	Fine. I'm sorry.	أنا آسفة .	F-N	أنا آسف .	
A-11196	Fine. Just some... some people who wanna meet with me.	- أجل ، إنما هناك بعض . . .	B-N		
A-11197	Fine. Take me in.	حسنا ، خذني للسجن	B-M	حسنا ، خذيني للسجن	
A-11198	Finished playing the part of the American citizen, I see.	لقد انتهيت من لعب دور المواطن الأمريكي ، كما أرى	M-N	لقد انتهيت من لعب دور المواطنة الأمريكية ، كما أرى	
A-11199	Fiona, if i cared about them all that much, i'd lose my mind.	فيونا ، إذا أهتممت بهم بهذا المقدار سأخسر عقلى	B-B		
A-11200	Fire that musket, and I cuts his throat.	إذا أطلقت النار سأقص عنقه		HARD	Ambigious (1st/2nd/3rd) أطلقت
A-11201	First Campbell gives me the sass.	أولها ( كامبل ) يعاملني بقذارة .	B-N		
A-11202	First I'd like to toast the best man.	أعتقد أنه يجب ان نقول نخبا لإشبينتى		HARD	
A-11203	First days I've taken in a year.	أول أيام اخذها منذ سنة	B-N		
A-11204	First he cheated on me with a stewardess named Monique.	( اولا ، خانني مع مضيفه تسمى ( مونيك	B-N		
A-11205	First kiss me, Kate, and we will.	أول قبلة لي ، كيت ، وسننجح في ذلك .		HARD	
A-11206	First of all, my name is detective Morris.	اولا قبل كل شيء اسمي هو المحقق " موريس " .	M-N	اولا قبل كل شيء اسمي هو المحققة " موريس " .	
A-11207	First of all, sir, I would never...	قبل كل شيء يا سيدي ، لم أكن أبدا . . .	B-M	قبل كل شيء يا سيدتي ، لم أكن أبدا . . .	
A-11208	First of all, that's just crazy to even think that she would kick me out.	أليس كذلك ؟ أولا ، من الغباء الإعتقاد بأنها طردتني خارجا	B-N		
A-11209	First of all, why would I get mixed up with a guy who I know firsthand will jump into an airplane bathroom with the first girl that comes a-knockin'?	- أولا . . لم أورط نفسي مع فتى عرفتبالتجربة . . أنه يدخل دورة المياه بالطائرة مع أول فتاة تأتي لتطارحه الغرام	B-S		عرفتبالتجربة
A-11210	First off, I'd just like to say what an honor it is to have been asked to lead the annual Show Choir Committee meeting.	أولا ، أود فقط أن أقول لا له من شرف لي كي يطلب مني قيادة إستضافة إجتماع لجنة القوانين للمعرض السنوي للفرق الموسيقية .	B-N		Bad translation
A-11211	First place I ever got to see a baby get born.	أول مكان أرى فيه كيف يولد الطفل	B-N		
A-11212	First thing I think of every day is her.	هي أول ما أفكر فيه كل صباح	B-N		
A-11213	First things first. I recorded a bunch of noises around the loft.	لقد قمت بتسجيل مجموعة من الضوضاء في هذه الشقة	B-N		
A-11214	First though, I want to say goodbye to all the tenants.	ليس قبل أن أودع كل ساكني العقار .	B-N		
A-11215	First time I got busted was for fighting.	اول مرة كسرت فيها كانت بسبب مشاجرة	B-N		
A-11216	First, I lose my first dad...	أولا فقدت والدي الاول	B-N		
A-11217	First, I would teach myself the ancient art of Ninjutsu.	أولا علمت نفسي فن النينجتسو القديم	B-N		
A-11218	First, he slashed my brother and sister's throats, then he stabbed my mother in the back.	في البداية قام بقطع حناجر أخي وأختي ثم قام بطعن أمي من الخلف	B-N		
A-11219	First, my bitch turns down my proposal. Then she runs into that loser's arms.	أولا ترفض فتاتى عرضى ثم تجرى نحو هذا الفاشل	B-N		
A-11220	First, type in my passcode. Double-O-Woof.	اكتبوا كلمة السر خاصتي اولا " دابلبو ووف "	B-M!	اكتبن كلمة السر خاصتي اولا " دابلبو ووف "	
A-11221	Fist me, that`s much better.	فلتضربنى . . ذلك افضل	B-M	فلتضربينى . . ذلك افضل	
A-11222	Fitch and I have an agreement.	لديناأناو ( فينش ) اتفاقية .	B-S		لديناأناو
A-11223	Fitz and I?	فيتز ) وأنا ؟	B-N		
A-11224	Fitz... it's possible I'm on one of the poles, but it's strange.	. . ( فيتز ) من الممكن أني بأحد قطبي الكوكب لكن الأمر غريبا	B-B		
A-11225	Five hundred years, I've planned.	خمسمئة سنة ، وأنا أخطط	B-N		
A-11226	Five minutes, guys. "Five minutes, guys." "Five minutes, guys." Why am I Japanese?	خمس دقائق ، ياشباب لماذا علي أخذ دور الياباني ؟		HARD	ياشباب
A-11227	Five minutes, that's all I need.	خمس دقائق ، هى كل ما أحتاج	B-N		
A-11228	Five minutes. After that, I'm calling the cops.	خمس دقائق بعد ذلك ، سأستدعي الشرطه	B-N		
A-11229	Five or six hours. Heart failure, I think. All the indications.	منذ 5 أو 6 ساعات سكتة قلبية على ما أظن	B-N		
A-11230	Five thousand three hundred. I want those Barcaloungers.	خمسة آلاف وثلاث مئة فأنا أريد تلك الكراسي الجلدية	B-N		
A-11231	Flicka. I'll be back in time for church.	فليكا " ، سأعود في موعد الكنيسة "	B-B		
A-11232	Florence is a lousy liar. She thought I'd said...	. . . فلورنس هي مجرد كاذبة خسيسة ، لقد كانت تعتقد بأنني قلت لها	B-N		
A-11233	Floyd, I'm sorry. I have to go.	آسفة يا ( فلويد ) علي الذهاب	F-B	آسف يا ( فلويد ) علي الذهاب	
A-11234	Fluids are not my actual area of expertise.	السوائل لست خبيرة فيها	F-N	السوائل لست خبيرا فيها	
A-11235	Fly directly back above my location.	طيرى مباشرة ثانية فوق مكاني	B-F	طر مباشرة ثانية فوق مكاني	
A-11236	Folks call me Bigfoot.	( وأصدقائي يلقبونني ( بيج فوت	B-N		
A-11237	Folks, I"m here with one of the great NBA superstars...	أيها المعجبون ، أنني هنا مع أحد أعظم نجوم ( أن بي أيه )	B-M!	أيتها المعجبات ، أنني هنا مع أحد أعظم نجوم ( أن بي أيه )	
A-11238	Follow me outside	إتلني خارج	B-S		إتلني
A-11239	Follow me!	! إتبعيني ، هيا	B-F	! إتبعني ، هيا	
A-11240	Follow me, boys.	اتبعاني يا صديقاي	B-B!		
A-11241	Follow me, girls.	إتبعوني يا فتيات		HARD	Bad translation
A-11242	Follow me, please.	اتبعني ، من فضلك	B-M	اتبعيني ، من فضلك	
A-11243	Follow me.	لا تتبعني	B-M	لا تتبعيني	
A-11244	Follow me.	إتبعني !	B-M	إتبعيني !	
A-11245	Follow me.	فلتتبعوني	B-M!	فلتتبعنني	
A-11246	Follow me. All right, let's do it. Come on.	اتبعوني حسنا ، لنفعلها ، هيا		HARD	
