SentenceID	English	Arabic	SentenceType	Switch Translation	Comment
C-7059	I mean you have him hidden, he's safe ?	هل وجدته ، أليس كذلك ؟ أعني هل قمت بإخفائه ، هل هو في أمان ؟ ماذا ؟	B-B		
C-7060	I mean you.	أعني أنت	B-B		
C-7061	I mean, 'cause you're so preoccupied with your work, is all.	أعني ، لأنك مشغول للغاية - بعملك ، هذا كل شيء .	B-M	أعني ، لأنك مشغولة للغاية - بعملك ، هذا كل شيء .	
C-7062	I mean, Charlie went into a coma on your wedding day.	و أنت كنت كذلك ، أعني ( تشارلي ) دخل في غيبوبة في يوم زفافك	B-B		
C-7063	I mean, I am if you need me to be, but I need you to not need me to be.	أعني أنا كذلك إن احتجت إلي ولكني أريدك ألا تحتاج إلي	B-M	أعني أنا كذلك إن احتجت إلي ولكني أريدك ألا تحتاجي إلي	
C-7064	I mean, I can't force you to come home.	أنا أعني أنه لا يمكنني إجبارك على العودة للبيت	B-B		
C-7065	I mean, I don't think your dad's gonna make it.	انا اعني . . . لا اعتقد ان والدك سيقوم بهذا	B-B		
C-7066	I mean, I expect crazy talk out of her, but you?	أعني ، أتوقع كلاما مجنونا منها ولكن منك ؟	B-B		
C-7067	I mean, I got to tell you.	علي أن أخبرك بهذا	B-B		
C-7068	I mean, I know that Tyler said he was running for his life. Maybe he was running from you.	أعلم أن ( تايلر ) قال أنه فار للنجاة بحياته ، لكن لعله هارب منك أنت .	B-B		
C-7069	I mean, I know we didn't spend that much time together, but enough to know when something's bothering you.	أتعلم نحن لم نقضي ذلك القدر من الوقت معا لكن بما يكفي لمعرفة أن شيء ما يضايقك	B!-M	أتعلمين نحن لم نقضي ذلك القدر من الوقت معا لكن بما يكفي لمعرفة أن شيء ما يضايقك	
C-7070	I mean, I know you're not, but...	أعني ، أعلم أنك لست كذلك . . . لكن	B-B		
C-7071	I mean, I leave for work every day... and I wonder what you're going to ruin in my house.	أعني ، أغادر للعمل يوميا وأتساءل ماذا ستفسدين في منزلي .	B-F	أعني ، أغادر للعمل يوميا وأتساءل ماذا ستفسد في منزلي .	
C-7072	I mean, I missed my son's first Halloween, and my heart is aching inside of my chest, but, you know, that doesn't mean anything.	، فاتني اول عيد قديسين لابني ، و قلبي يتألم في صدري . . لكن	B-N		
C-7073	I mean, I see why you're pissed. I would be, too, I bet.	أعني ، أتفهم سبب غضبك كنت سأغضب أيضا ، أراهن على هذا	B-B		
C-7074	I mean, I sort of read it as, like, a dig on your general fluffiness.	أعني ، فهمتها على أنها مثل ، ضربة على قضيبك الريشي		HARD	
C-7075	I mean, I think, every time you sit in one of those saddles, it's basically like letting Boris finger you.	أعني ، أعتقد أن كل مرة تجلسين فيها على أحد هذه المقاعد ، ذلك أشبه بجعل ( بوريس ) يداعبك بإصبعه .	B-F	أعني ، أعتقد أن كل مرة تجلس فيها على أحد هذه المقاعد ، ذلك أشبه بجعل ( بوريس ) يداعبك بإصبعه .	
C-7076	I mean, I thought you might want to know since that's your kind of thing, not mine.	أعني ، ظننت قد ترغب في معرفة منذ هذا النوع الخاص من الشيء ، ليس من الألغام .	B-M	أعني ، ظننت قد ترغبين في معرفة منذ هذا النوع الخاص من الشيء ، ليس من الألغام .	Bad translation
C-7077	I mean, I thought, you know, maybe we could talk about taking things forward.	أعني ، ظننت . . . تعلمين ، ربما يمكننا مناقشة التقدم فيما بيننا أكثر .		HARD	
C-7078	I mean, I used to think about leavin' home, you know.	كنت أفكر حول ترك البيت	B-N		
C-7079	I mean, I'll do some drugs, if you have some.	اعني ، سأتعاطى بعض المخدرات اذا لديك	B-B		
C-7080	I mean, I'm not your girl. I wasn't making a pass at you.	لا أقصد فتاتك المنشودة بمعنى الكلمة ، فلم أكن أقصد التودد إليك .	B-B		
C-7081	I mean, I'm so close, I'm so close. Do you know where Liam is? Maybe I can get his signature first.	لقد كنت قريب جدا أتعرف أين ليام ؟	M-M	لقد كنت قريبة جدا أتعرف أين ليام ؟	
C-7082	I mean, I'm trying to picture you out of uniform.	أعني ، أنني أحاول تخيلك دون زيك الرسمي .	B-B		
C-7083	I mean, I'm with you on this one.	أعني ، أنا أؤيدك بذلك	B-B		
C-7084	I mean, I... I really, I don't know how I can help you more than that.	أعني ، لا أعلم حقا كيف بوسعي أن أساعدك أكثر من هذا .	B-B		
C-7085	I mean, Vince, look at what you just did.	أقصد يا ( فينس انظر ماذا فعلت للتو	B-M	أقصد يا ( فينس انظري ماذا فعلت للتو	
C-7086	I mean, a year ago you were an only child.	أعني ، قبل سنة أنت كنت طفل وحيد .	B-M	أعني ، قبل سنة أنت كنت طفلة وحيدة .	
C-7087	I mean, are you okay?	أعني ، هل أنتى بخير ؟	B-B		
C-7088	I mean, are you sure we can make it across with our equipment... our chariots?	أعني هل أنت متأكد من أننا يمكن أن نعبر مع المعدات والعربات		HARD	
C-7089	I mean, aren't you ever just scared of breaking apart at the thought of it?	ألا تخاف من الانهيار ؟ من مجرد التفكير	N-M	ألا تخافين من الانهيار ؟ من مجرد التفكير	Bad translation
C-7090	I mean, bowling with your ex-husband?	بولينغ مع طليقك ؟	N-B		
C-7091	I mean, by "we," I mean you, but I want to be there to watch.	وبقولي " نحن " أعنيك أنت ولكن أريد أن أكون متواجدة هناك لأشاهد	F-B	وبقولي " نحن " أعنيك أنت ولكن أريد أن أكون متواجدا هناك لأشاهد	
C-7092	I mean, can you help me?	أعني ، هل يمكنك مساعدتي ؟	B-B		
C-7093	I mean, can you imagine what dad would have done?	هل تتخيل ما كان سيفعله أبي ؟	B-M	هل تتخيلين ما كان سيفعله أبي ؟	
C-7094	I mean, can you smell it?	- أعني ، أيمكنك أن تشم ذلك ؟	B-M	- أعني ، أيمكنك أن تشمي ذلك ؟	
C-7095	I mean, can...you got anything for the pain?	أقصد ، هل لديك شئ من أجل الألم ؟	B-B		
C-7096	I mean, come on, you look So good at night..	أعني . . ، أفهميني . . انت تبدين جميلة جدا في الليل	B-F	أعني . . ، أفهمني . . انت تبدو جميلا جدا في الليل	
C-7097	I mean, come on, you're an intelligent woman.	- أقصد بحقق ، أنت أمرأة ذكية .	B-S		بحقق
C-7098	I mean, do you really think he's gay?	اقصد ، هل تظننون انه شاذ جنسيا ؟	B-M!	اقصد ، هل تظنن انه شاذ جنسيا ؟	
C-7099	I mean, don't you keep just kinda... picturing me naked all the time?	أعنى ، ألست تتحتفظى فى مخيلتك صورة عنى وكأننى عارى فى كل الاوقات ؟	B-S		تتحتفظى
C-7100	I mean, even if you're in a relationship, which I'm not... it's just a day that makes you feel inadequate.	اقصد حتى لو كنت على علاقة وهو ما لست انا عليه انه مجرد يوم يجعلك تشعر بعدم الكفاية	B-M	اقصد حتى لو كنت على علاقة وهو ما لست انا عليه انه مجرد يوم يجعلك تشعرين بعدم الكفاية	
C-7101	I mean, even though... you had to get it by selling out your friends.	أقصد ، رغما عن ذلك للحصول عليه كان يجب عليك ان تقوم ببيع أصدقائك	B-M	أقصد ، رغما عن ذلك للحصول عليه كان يجب عليك ان تقومي ببيع أصدقائك	
C-7102	I mean, everything you just said.	أعني ، كل ما قلته للتو	B-B		
C-7103	I mean, five years ago, you could've died, and I wouldn't have cared.	اعني ، منذ 5 سنوات ، كان من الممكن ان تموت وانا لم اكن لأهتم على الاطلاق وكنت سأسرق الكاميرا الخاصة بك ايضا	B-M	اعني ، منذ 5 سنوات ، كان من الممكن ان تموتي وانا لم اكن لأهتم على الاطلاق وكنت سأسرق الكاميرا الخاصة بك ايضا	
C-7104	I mean, from what you've been saying.	أعني ، مما كنت تقولينه	B-F	أعني ، مما كنت تقوله	
C-7105	I mean, have you ever in your whole life heard somebody saddle up to a bar like this and say, "Hey, mister.	أعني هل سمعت بكل حياتك عن شخص دخل إلى حانة كهذه وقال	B-B		
C-7106	I mean, having a baby can completely ruin your life, you know?	قد يفسد إنجاب طفل حياتك كلها	B-B		
C-7107	I mean, he's one of you. Wouldn't he, you know, smell that coming a mile away?	الا يمكنه ، ان يشعر بقدوم بهذا ؟	N-N		
C-7108	I mean, here, I always thought that you were a stuffy and responsible lady, but inside you are just a fat, middle-aged man with a ponytail.	ب انك سيدة جاده متعجرفه لكن بداخلك أنتي فقط رجل سمين في منتصف العمر ومع ذيل حصان	N-F	ب انك سيد جاد متعجرف لكن بداخلك أنت فقط رجل سمين في منتصف العمر ومع ذيل حصان	
C-7109	I mean, how can I be with someone like you?	كيف أرتبط بواحدة مثلك ؟	B-F	كيف أرتبط بواحد مثلك ؟	
C-7110	I mean, how did you know?	أقصد ، كيف عرفت أنت ؟	B-B		
C-7111	I mean, how did you really know that that was something you were gonna do?	أعني ، كيف عرفتم حقا أن هذا أمر تريدون عمله ؟	B-M!	أعني ، كيف عرفتن حقا أن هذا أمر تردن عمله ؟	
C-7112	I mean, how much longer do you think he's gonna live?	أعني ، إلى أي مدى تعتقدين أنه سيعيش ؟	B-F	أعني ، إلى أي مدى تعتقد أنه سيعيش ؟	
C-7113	I mean, how... you know what?	. . . اقصد ، كيف اتعلمون امرا ؟	B-M!	. . . اقصد ، كيف اتعلمن امرا ؟	
C-7114	I mean, if Drew wins, you're moving to D.C., right?	أعني ، لو فاز درو ستنتقلون من المدينة ، صحيح ؟	B-M!	أعني ، لو فاز درو ستنتقلن من المدينة ، صحيح ؟	
C-7115	I mean, if anyone was gonna find peace, it should be you.	أعني أنه طالما سيجد أي أحد السلام ، فيجب أن يكون أنت .	B-B		
C-7116	I mean, if it makes you feel any better,	أنا أعني ، اذا يجعلك هذا تشعرين بالتحسن	B-F	أنا أعني ، اذا يجعلك هذا تشعر بالتحسن	
C-7117	I mean, if our timing had been different or... if we hadn't met through you or if I had been an entirely different person, maybe...	أعني ، لو كان توقيتنا مختلفا أو أننا لم نلتقي من خلالك أو أنني كنت إنسانة مختلفة تماما . .		HARD	
C-7118	I mean, if someone like you didn't want to see me...	أنا أعني إذا لم يرد شخصا مثلك رؤيتي ، ، ، و !	B-B		
C-7119	I mean, if we can't figure something going on between two people, then... did he really ask you not to look at the seat belt?	وإذا لم نفهم أي شيء يجري بين شخصين هل طلب منك حقا ألا تنظر لحزام الأمان ؟	B!-M	وإذا لم نفهم أي شيء يجري بين شخصين هل طلب منك حقا ألا تنظري لحزام الأمان ؟	
C-7120	I mean, if you can find him.	ماذا تقصد ؟	N-M	ماذا تقصدين ؟	
C-7121	I mean, if you really love it, you shouldn't care what other people think.	. يجب عليك الا تهتم باراء الناس من حولك	N-M	. يجب عليك الا تهتمي باراء الناس من حولك	
C-7122	I mean, if you studied under Clement, then I'll have you do the calvarial graft and I'll just focus on the bipartition.	أعني ، إن كنت درست تحت إشراف ( كليمنت ) ، سأدعك تعالجين الشق الوجهي وأنا سأركز على الباقي .	B-F	أعني ، إن كنت درست تحت إشراف ( كليمنت ) ، سأدعك تعالج الشق الوجهي وأنا سأركز على الباقي .	
C-7123	I mean, if you're okay with that.	لقد ارسلت لي رساله .	B-B		Bad translation
C-7124	I mean, in, like, your professional opinion?	أعني أهذا رأيك الطبي ؟	B-B		
C-7125	I mean, isn't that the exact opposite of being an ISIS bride? Unless they weren't grooming Zahra for a career in front of the camera. If you want to get to know Zahra and young women like her...	اعني ، اليس ذلك هو النقيض تماما لما يجب ان تمثله فتاه في داعش ؟ الا اذا كانوا لم يزينوا ( زهره ) لوظيفه امام الكاميرات اذا اردت ان تصل ل ( زهره ) والشابات التي على شاكلتها وترى اي واحده ستلتهم الطعم	B-M	اعني ، اليس ذلك هو النقيض تماما لما يجب ان تمثله فتاه في داعش ؟ الا اذا كانوا لم يزينوا ( زهره ) لوظيفه امام الكاميرات اذا اردت ان تصلي ل ( زهره ) والشابات التي على شاكلتها وتري اي واحده ستلتهم الطعم	
C-7126	I mean, it was great meeting you and everything.	أعني أنه من الرائع مقابلتك	B-B		
C-7127	I mean, it won't keep you warm at night, make you feel loved.	اقصد ذلك لن يشعرك بالدفء في الليل يجعلك تشعرين بالحب	B-F	اقصد ذلك لن يشعرك بالدفء في الليل يجعلك تشعر بالحب	
C-7128	I mean, it's gonna take them a while to get used to the thought of you.	أقصد ، سيتطلب ذلك وقتا . . . قبل أن يعتادوا على وجودك	B-B		
C-7129	I mean, it's good for your career and the firm.	أعني ، هو جيد ل مهنتك والشركة .	B-B		
C-7130	I mean, it's in the book, so I suppose you do.	أعني ، انه في الكتاب ، لذا أفترض بأنك تعمل .	B-M	أعني ، انه في الكتاب ، لذا أفترض بأنك تعملين .	
C-7131	I mean, it's just something you say, right?	. أعني ، لقد كان شئ يقال فحسب ، اليس كذالك ؟	B-N		
C-7132	I mean, it's not connected to anything, but sounds like you're getting into it!	بالتأكيد ! أعني ، أنها ليست مرتبطة بأي شيء ، ولكن	B-N		
C-7133	I mean, it's not like you to do anything on the fly.	أعني أنها ليست مثلك تفعل أي شي بشكل سريع .	B-B		
C-7134	I mean, it's your decision, and I'll respect it.	إنه قرارك ، و سأحترمه	B-B		
C-7135	I mean, it's--it's obvious, seeing you two together.	أقصد ، إنه من الواضح أراكما مع بعض	B-B!		
C-7136	I mean, just look at you two.	أعني ، إنظرا لحالكما	B-B!		
C-7137	I mean, look at you. The hair.	انظر اليك	B-B		
C-7138	I mean, look at yourselves. What's wrong with you, huh?	أقصد ، أنظروا إلى أنفسكم ما خطبكم ؟	B-M!	أقصد ، أنظرن إلى أنفسكن ما خطبكن ؟	
C-7139	I mean, look, if you prefer men, you should really just tell her, man.	اذا كنت تفضل الرجال عليك ان تخبرها بذلك	N-M	اذا كنت تفضلين الرجال عليك ان تخبريها بذلك	
C-7140	I mean, look, when was the last time that you and Lena really talked to me about Brandon?	أعني ، انظري ، آخر مرة انتي و ( لينا ) حقا تحدثتوا معي حول ( براندون ) ؟		HARD	CONJ
C-7141	I mean, maybe I'm leading you on a wild goose chase and it's not even here.	أعني ، ربما أنا اقوم بتضليلك وأنه ليس هنا حتى	B-B		
C-7142	I mean, maybe you're doing your job, but why you gotta stop me from doing mine?	ربما أنتم تقوموا بعملكم لكن لماذا تقوموا بمنعي عن أداء عملي ؟	B-M!	ربما أنتن تقومن بعملكن لكن لماذا تقومن بمنعي عن أداء عملي ؟	
C-7143	I mean, my lord, the opposition of your person in trial.	إنني أعني ، يا مولاي ، جوابك إذا كنت تريد أن يكون خصمك		HARD	
C-7144	I mean, nice enough fella, if you like guys who can't even bench press.	أعني ، رجل لطيف كفاية		HARD	Ambigious (2nd/3rd) رجل
C-7145	I mean, no pressure. Don't let me get under your skin.	أقصد ، لا أريد الضغط عليك لا تسمح لي بأن أؤثر بك	B-M	أقصد ، لا أريد الضغط عليك لا تسمحي لي بأن أؤثر بك	
C-7146	I mean, not that we didn't make a great team out there today... minus the whole part where I was kidnapped and you were shot.	لم أقصد ، بأننا لم نكن فريقا عظيما هناك اليوم . . . مع إزالة ذلك الجزء . . . حيث اختطفت أنا وأنت أصبت بالرصاص		HARD	
C-7147	I mean, not war, you know, specifically, but, um, I think I really...	لا أعني الحرب ذاتها بشكل محدد	B-N		
C-7148	I mean, obviously, you're not a bitch.	أعني من الواضح أنك لست حقيرة	B-F	أعني من الواضح أنك لست حقيرا	
C-7149	I mean, perhaps you can think of this like exploratory surgery.	أعني ، ربما تستطيعين التفكير بهذا كأنها جراحة إستكشافية	B-F	أعني ، ربما تستطيع التفكير بهذا كأنها جراحة إستكشافية	
C-7150	I mean, please reserve your judgment	أقصد ، من فضلك احتفظى برايك	B-F	أقصد ، من فضلك احتفظ برايك	
C-7151	I mean, please, how old are you?	أعني ، رجاء ، كم عمرك ؟	B-B		
C-7152	I mean, really take care of you?	أعني ، حقا اعتني بك		HARD	Ambigious (1st/3rd)
C-7153	I mean, she said she doesn't go to a doctor, she doesn't have any medical insurance, and I said, "Are you...	لقد قالت بأنها لا تذهب إلى طبيب ليس لديها أي تأمين صحي	N-N		
C-7154	I mean, she's probably ditching right now to avoid your good-girl wrath.	لعلها متخفية الآن تجنبا لغضبك التقويمي .	N-B		
C-7155	I mean, sure, we'll wonder, when we're 30 or 40, if we should have played the field more, but you can't look back.	بالتأكيد سنتسائل حين نكون بال 30 أو 40 لو أننا جربنا الدخول بعلاقات أخرى ، لكن لا يسعنا التطلع للوراء	B!-N		
C-7156	I mean, sure, you got your steering... and your gas and your brake... and, of course, this metal, uh, looking... thing.	أعني بالطبع ، فهذا هو المقود . . وبدال السرعة . . والمكابح	B-N		
C-7157	I mean, that is where you've gone previously, isn't it?	أجل ، أعني ذلك حيث كنت تذهب لتلك الأماكن في السابق ، صحيح ؟	B-M	أجل ، أعني ذلك حيث كنت تذهبين لتلك الأماكن في السابق ، صحيح ؟	
C-7158	I mean, the girl is head-over-heels smitten with you.	ل متوسط ، والفتاة هي . . . . . . رأسا على عقب - مغرم معك .	N-B		Bad translation
C-7159	I mean, the important thing is that you are gonna survive this, however it turns out.	أعني أهم شيء هو أنك ستنجي من هذا مهما يحدث في نهايته	B-M	أعني أهم شيء هو أنك ستنجوين من هذا مهما يحدث في نهايته	
C-7160	I mean, the pothead had jungle fever, and you could have gotten the other one with a taffy apple.	أعني ، مدخن الحشيش لديه غابة وكان من المحتمل أن تحصل على الأخرى مع حلوى التفاح	B-M	أعني ، مدخن الحشيش لديه غابة وكان من المحتمل أن تحصلي على الأخرى مع حلوى التفاح	
C-7161	I mean, there's 12, but I can paint the extra two on your big toes.	اعني ، هناك اثنا عشر ، لكن باستطاعتي أن اصبغ الاثنين المتبقي على اصابع قدمك الكبيرة	B-B		
C-7162	I mean, there's lots of other stuff that you can do.	هناك أمور كثيرة تستطيع فعلها	N-M	هناك أمور كثيرة تستطيعين فعلها	
C-7163	I mean, they are kind of odd, you know.	اعنى ، أنهم نوع شاذ كما تعرف	B-M	اعنى ، أنهم نوع شاذ كما تعرفين	
C-7164	I mean, they make the print so small, and they trick you with the language.	أعني بأنهم يجعلون الطباعة صغيرة جدا ، و يخدعونك باللغة	B-B		
C-7165	I mean, they wanted you to increase your task force, they needed you to bring in the DEA, because that is where they had someone on the inside.	أرادوكم ان تزيدوا من طاقة طاقمكم وأرادوكم ان تحضروا وحدة مكافحة المخدرات لأنه كان لديهم شخص بينكم	N-M!	أرادوكن ان تزدن من طاقة طاقمكن وأرادوكن ان تحضرن وحدة مكافحة المخدرات لأنه كان لديهم شخص بينكن	
C-7166	I mean, this is a guy who was on the lam from a hate crime charge in Canada, this guy got kicked out of Estonia for illegal activities, I mean, this is one of, you know, top ten white supremacists	أعني ، هذا هو الرجل الذي كان هاربا من جريمة كراهية وجهت له في كندا ، هذا الرجل طرد من استونيا	B-N		
C-7167	I mean, this whole trip was nico's idea to begin with. So you really should have your own room.	( كانت الرحلة فكرة ( نيكو لذا يجب أن تحظي بغرفتك الخاصة	B-F	( كانت الرحلة فكرة ( نيكو لذا يجب أن تحظى بغرفتك الخاصة	
