SentenceID	English	Arabic	SentenceType	SwitchTranslation	Comment
A-20	"'But who will give me firewood for the oven...	" قالت نانون : لكن من سيعطني حطبا من أجل الفرن . . .		HARD	Bad translation
A-21	"'Cause otherwise, I'm sitting back and I'm watching."	" وإلا فإني سأجلس في الخلف وأشاهد "	B-N		
A-22	"'FOR THREE YEARS, I'VE BEEN LOOKING FOR FRUIT ON THIS TREE,	لمدة ثلاث سنوات وانا انتظر فاكهة هذه الشجره	B-N		
A-23	"..stealing furtive glances only at me."	يسرق النظرات خفية فقط	N-N		
A-24	"2 pm tomorrow, get the money ready, wait for my call."	الثانية مساء الغد ، قم بتجهيز الأموال وانتظر اتصالى	B-M	الثانية مساء الغد ، قومي بتجهيز الأموال وانتظري اتصالى	
A-25	"A "gesture I love.	الصوت الذي أحب	B-N		
A-26	"A b o o d i 12"	ترجمة و تنفيذ سايمون فريد	N-N		
A-27	"After few months, I saw her in the railway platform"	ثم شاهدتها يوما على رصيف محطة القطار	B-N		
A-28	"And I really hope that Tony! Toni! Tone!	و آمل أن يكون ( توني توني توني ) يشاهدون	B-N		
A-29	"And I sent this bomb in there."	" وأرسلت هذه القنبلة إلى هناك .	B-N		
A-30	"And I weep for myself."	و ابكى على نفسى	B-N		
A-31	"And all I own seems far away.	خسارتي شديدة	B-N		
A-32	"And as I put the wedding gown away' I couldn't help but wonder:	" لم أكن أتسائل ،	B-N		
A-33	"And now when am grown up, I die for Super girl."	" والآن عندما كبرت ، " " أصبحت مجنونا ب المرأة الخارقة . "	M-N	" والآن عندما كبرت ، " " أصبحت مجنونة ب المرأة الخارقة . "	
A-34	"And say which grain will grow and which will not, "Speak then to me." A disaster.	وتعرف أي حبوب ستنمو وأي حبوب لن تنمو تحدث وقتها معي	B-M	وتعرفي أي حبوب ستنمو وأي حبوب لن تنمو تحدثي وقتها معي	
A-35	"And these fragments I have shored against my ruins," T.S. Eliot.	هذه الأجزاء عندي حصانة ضد تخريبي ، " تي . إس . إليوت .	B-N		
A-36	"And this towel, wherever I take it off is the right place"	وهذه المنشفة ، أينما أتركها هو المكان المناسب	B-N		
A-37	"B" ... that wasn't me.	لست أنا الفاعلة "	F-N	لست أنا الفاعل "	
A-38	"Because of that, i must leave all that is sacred in my life...	بل على الإيمان بالرب وبسبب ذلك . . علي أن اترك كل ماهو عزيز علي في هذه الحياة	B-N		
A-39	"Believe in me, for I am the way to...	* آمنى بى لأننى أنا الطريق إلى	B-F	* آمن بى لأننى أنا الطريق إلى	
A-40	"Believe me, I am not afraid of Victor."	" صدقني أنا لا أخاف من فيكتور "	B-M	" صدقيني أنا لا أخاف من فيكتور "	
A-41	"Beloved, meet me someday."	" أيها الأحباء ، سوف نلتقي يوما ما . "		HARD	
A-42	"Bhole, my heart.."	لا أعرف لماذا " . " بولي . .	B-N		
A-43	"Bring me the check."	احضر الحساب لي	B-M	احضري الحساب لي	
A-44	"Bros before hos" was always my mantra in high school.	" الأخوات قبل العاهرات " ذلك كانت تعويذتي دائما في الثانوية .	B-N		
A-45	"But I don't have a daughter...	. . . . . لكن لا يوجد لدي ابنة	B-N		
A-46	"But I just got the results back from my HIV test, "and I'm heartbroken to say that they came back positive.	لكننى حصلت على نتائج اختبار نقص المناعة " " و يؤسفنى ان اخبرك بأنها كانت ايجابية	B-B		
A-47	"But I'm not a tree." "Well, pretend."	" ولكن انا لست شجرة " " حسنا ، تظاهر بإنك شجرة "	B-M	" ولكن انا لست شجرة " " حسنا ، تظاهري بإنك شجرة "	
A-48	"But have i killed my own heart in the process?"	ولكن هل قتلت عاطفتي أثناء ذلك ؟	B-N		
A-49	"But it's the little things I see them do for each other"	التي تخبرني بماهية الحب كعندما نكون في السيارة		HARD	
A-50	"But still, every trick is ineffective on me."	" لكن كل خطة لاتنطلي علي "	B-N		لاتنطلي
A-51	"But that's all I know."	ولكن هذا كل ما أعرفه ،	B-N		
A-52	"Buy me a drink"?	قدمي لي شرابا ؟	B-F	قدم لي شرابا ؟	
A-53	"Can I have an A?	أيمكنني الحصول على إمتياز ؟	B-N		
A-54	"Captain Jim Bob, protect me! Captain Jim Bob, protect me!"	" كابتن ( جيم بوب ) احميني " " كابتن ( جيم بوب ) احميني "	B-F	" كابتن ( جيم بوب ) احمني " " كابتن ( جيم بوب ) احمني "	
A-55	"Dad, I'm gonna clean up my act this time.	" أبي ، سأعتدل هذه المرة	B-M	" أمي ، سأعتدل هذه المرة	
A-56	"Darling, I too have decided."	" عزيزتي ، أنا أيضا قررت "	B-F	" عزيزي ، أنا أيضا قررت "	
A-57	"Dear Dirty Donna, so I'm out of the prom...	عزيزتي القذرة دونا انا خارج حفلة التخرج .	B-F	عزيزي القذر دونا انا خارج حفلة التخرج .	
A-58	"Dear Nanny Whetstone, I'm so very sorry."	عزيزتي المربية وينستور أنا آسف جدا . . أطفالي . .	M-F	عزيزتي المربية وينستور أنا آسفة جدا . . أطفالي . .	
A-59	"Dear mother, let me in, when shallmy bones have peace at last?"	التي تحتفظ بأمي في جوفها ، و أقول : " أمي العزيزة ، دعيني أدخل ، متى سوف تحوز عظامي على السلام أخيرا ؟ "	B-F	التي تحتفظ بأمي في جوفها ، و أقول : " أبي العزيز ، دعني أدخل ، متى سوف تحوز عظامي على السلام أخيرا ؟ "	
A-60	"Do people think I'm a carbon copy or a second-rate pretender who only got a shot because of my skin tone?"	" هل يظن الناس إنى نسخة بالكاربون أو مصنق ثانى يمثل إنه الأفضل ولم يحصل على الفرصة إلا بسببى ؟ "		HARD	مصنق ثاني - مصنفة ثانية ، إنها تستحق ؟؟؟
A-61	"Don't bother switching the limos. Nobody's following us. I am so smart. "	" لا أحد يضايقني بالليموزين لا أحد يتبعنا ، أنا ذكية جدا "	F-N	" لا أحد يضايقني بالليموزين لا أحد يتبعنا ، أنا ذكي جدا "	
A-62	"Don't humiliate my love."	" لا تخذلى حبى "	B-F	" لا تخذل حبى "	
A-63	"Don't vex me, mortal.", he says.	" قال لي : " لا تضايقني أيها الفان		HARD	
A-64	"Dry or wet kiss, give me a kiss and make my life."	" أعطني قبلة مبتلة وجافة " " أضف جمالا على خدي "	B-M	" أعطيني قبلة مبتلة وجافة " " أضيفي جمالا على خدي "	
A-65	"During those visits, I made love to her,	" خلال تلك الزيارات ، مارست معها الحب ،	B-N		
A-66	"Every part of my body is getting weak."	" كل جزء من جسدي يزداد ضعف " .	B-N		
A-67	"Everyone looks charmed by me."	" الكل مفتون بي "	B-N		
A-68	"Everything I do,	كل شيء قمت به	B-N		
A-69	"Excuse me, may I have another?"	عذرا ، هل لي بآخر ؟	B-N		
A-70	"Excuse me.	المعذرة	B-N		
A-71	"For this very moment, I..."	" . . . من أجل هذه الدقائق أنا "	B-N		
A-72	"Forgiveness"--that word keeps biting me in the ass.	المسامحه ، هذه الكلمة تستمر في إزعاجي	B-N		
A-73	"From this moment on, I'm not gonna waste any more of it."	" من الآن فصاعدا لن أهدر لحظة من حياتي "	B-N		
A-74	"Get me a seal."	" احصل لي على ختم "	B-M	" احصلي لي على ختم "	
A-75	"Get to the point, man," as my wife now says.	" احصل على هذه النقطة ، والرجل ، " كما زوجتي تقول الآن .		HARD	
A-76	"Give me the splendid silent sun, with all his beams full-dazzling. "	" أعطني الشمس الساطعة والصامتة بكل أشعتها المتوهجة "	B-M	" أعطيني الشمس الساطعة والصامتة بكل أشعتها المتوهجة "	
A-77	"Gosh, what a great time I had.	" يا له من يوم "	N-N		
A-78	"Got my six."	! تدعمني		HARD	Bad translation
A-79	"Had he recognized me for who I am,	" لو أدرك من أنا ،	B-N		
A-80	"Hate gives me strength. Even when there's no hope.	الكرة أعطانى قوة عندما لا يكون لدى أمال	B-N		
A-81	"He restoreth my soul."	" يرد نفسي "	B-N		
A-82	"He said, "Always remember that the driver," that's me,	لقد قال تذكر دائما أن السائق و هو أنا		HARD	
A-83	"Hello,jealousy. I embrace and acknowledge the messageyou are bringing me."	" مرحبا أيتها الغيره أنا أقبل وأؤكد الرسالة التي جئتيني بها "		HARD	
A-84	"Hello?" So was I.	" مرحبا ؟ " لذلك كان أولا	B-N		
A-85	"Here I come. Here I come again!	" ها قد أتيت ، ها قد أتيت ثانية !	B-N		
A-86	"Hey, everybody, it's me, Jim."	" مرحبا ، للجميع : إنه أنا " جيم	B-B!		
A-87	"Hey, remember the time that I quit"	" تتذكرين ذلك الوقت عندما استقلت "	B-F	" تتذكر ذلك الوقت عندما استقلت "	
A-88	"Hoping to fry my brain to death I smoked some primo crystal meth,"	* * وسعيا لكي أشوي دماغي في صمت * * * * تنشقت من صنف يخدر إحساسي * *	B-N		
A-89	"How am I gonna pay my rent?"	كيف سأقوم بدفع إلإيجار ؟	B-N		
A-90	"How did I do"?	" كيف ابليت " ؟	B-N		
A-91	"How did it happen, I don't know; tell me, O heart"	كيف حدث ذلك ، أنا لا أعرف	B-N		
A-92	"How long shall I live?"	كم من العمر سأعيش ؟	B-N		
A-93	"How lucky I am to have someone who makes saying goodbye so hard.	كم أنا محظوظ لأملك شخصا " " يجعل قول الوداع صعبا	M-N	كم أنا محظوظة لأملك شخصا " " يجعل قول الوداع صعبا	
A-94	"How's my smile?" Oh, man.	" كيف تبدو لكم إبتسامتي ؟ " أوه ، يا رجل	B-S		
A-95	"I also remember this."	" أتذكر أيضا ما يلي "	B-N		
A-96	"I assume that means yes."	" أعتقد أن هذا يعني نعم "	B-N		
A-97	"I can get all the benefits of"...	" يمكنني الحصول على كل فوائد "	B-N		
A-98	"I can't believe they make everyone	" لا أستطيع أن أصدق أنها تجعل الجميع	B-N		
A-99	"I can't believe this! They forgot my fucking birthday!"	لا أستطيع أن أصدق ذلك " " لقد نسوا عيد ميلادي	B-N		
A-100	"I can't claim to know Tom Kingsly very well,	" لا أستطيع الادعاء بمعرفة ( طوم كينغزلي ) حق المعرفة	B-N		
A-101	"I can't do this. It's two women."	" لا أستطيع فعل هذا ، إنهما إمرأتان "	B-N		
A-102	"I can't help it.	. . . لم أستطع منع نفسي . . .	B-N		
A-103	"I can't stay in this school, the coach won't let me start."	لا استطيع البقاء في هذه المدرسة " " لأن المدرب لا يجعلني لاعبا اساسي	M-N	لا استطيع البقاء في هذه المدرسة " " لأن المدرب لا يجعلني لاعبة اساسية	
A-104	"I cannot have him working here because he is a thief."	لا أستطيع تركه يعمل هنا " " لأنه لص	B-N		
A-105	"I chose them	أخترتهم	B-N		
A-106	"I cooked it this way or that way."	طبختها " بهذه الطريقة او تلك الطريقة "	B-N		
A-107	"I could go back and finish it,	" بإمكانى العودة وإنهاء هذا الأمر أو يمكننى أن أترك شخصا أحبه يموت بسلام "	B-N		
A-108	"I decline".	انا ارفض	B-N		
A-109	"I did not consider it a riot."	" انا لا اعتبره شغب "	B-N		
A-110	"I didn't do anything."	" لم أفعل أي شيء "	B-N		
A-111	"I didn't know my heart would deceive me."	" لم أكن أعرف أن قلبي سيخدعني " .	B-N		
A-112	"I didn't want him thinking I was still ill...	" لم اكن اريده ان يفكر بأني لازلت مريضه "	F-N	" لم اكن اريده ان يفكر بأني لازلت مريضا "	
A-113	"I do not want to leave.	إذا أنهي هذا		HARD	Bad translation
A-114	"I do." She left a message.	فعلتها ، تركت رسالة	B-N		
A-115	"I don't care if it's not perfect.	لاهتم اذا كان غير مثالي	B-S		لا اهتم
A-116	"I don't know."	" لست أدري "	B-N		
A-117	"I don't remember, I blacked out"... that's not gonna cut it.	ليست قطع ستعمل .		HARD	Bad translation
A-118	"I don't think"	" لا أعتقد "	B-N		
A-119	"I doubt it," said the carpenter, and shed a bitter tear.	" أشك في ذلك " ، قال النجار و ذرف دموع المرارة		HARD	
A-120	"I feel terrible that it happened before and I can't let it happen again."	" أشعر باستياء لحدوث ذلك سابقا ولا يمكننا السماح بتكراره "		HARD	
A-121	"I felt all flushed with fever	" شعرت بالحمى في بدني	B-N		
A-122	"I got a lot on my mind, but I can do it.	" لدي الكثير في بالي ، ولكن أستطيع فعلها	B-N		
A-123	"I happen to have a lawyer acquaintance." Right out of Streetcar Named Desire.	" تصادف أن لدي محامي معرفة " بجانب سيارة شارع تدعى ( ديساير )	B-N		
A-124	"I hate peas.	أكره البازلاء	B-N		
A-125	"I have 100,000 friends on MySpace!	انا لدى مائة الف شخص فى الماى سبيس	B-N		
A-126	"I have but recently returned from the valley of the shadow of death.	" لقد عدت للتو مؤخرا من وادي ظل الموت "	B-N		
A-127	"I have my dream."	" لدي حلمي "	B-N		
A-128	"I have no idea, but God must, so there."	" ليس لدي أي فكرة ، لكن لابد وان الرب لديه . "	B-N		
A-129	"I have no idea.	" لا توجد لدي أدنى فكرة	B-N		
A-130	"I have seen the freest among them	رأيت الحرية بينهم	B-N		
A-131	"I hope that... now I have gone, things will calm down a bit."	. . . آمل أنه بما أني الآن رحلت ، فالأمور ستهدأ قليلا	B-N		
A-132	"I hope this gives Camille the peace she deserves."	أصدر تصريحا : " آمل أن يجلب هذا ل ( كاميلي ) السلام التي تستحقه "		HARD	Bad translation
A-133	"I know that my Redeemer liveth...	أعرف ذلك يأحبائي الأحياء	B-S		يا أحبائي
A-134	"I know where to find the guys who killed my brother". "Their boss is Norman Stansfield"	" اعلم اين تجد الحقير الذى قتل اخى " .		HARD	Ambiguous (2nd/3rd)
A-135	"I let my country down.	اسمحوا لي	B-M!	اسمحن لي	
A-136	"I love in this way, because I don't know any other way of loving."	أنا أحب بهذه الطريقة لأننى لا أعرف طريقة أخرى للحب	B-N		
A-137	"I make 800 decisions a day.	" أنا أحصل على 800 قرار في اليوم .	B-N		
A-138	"I might actually want to see again."	" أرغب برؤيتها مرة اخري "	B-N		
A-139	"I must kill them.	" أنا يجب أن أقتلهم .	B-N		
A-140	"I need a favour, Mr Campbell, sir.	" . . أحتاج معروفا يا سيد ( كامبل ) و سأفعل أي شيء "	B-M	" . . أحتاج معروفا يا سيدة ( كامبل ) و سأفعل أي شيء "	
A-141	"I never laugh."	" أنا لا أضحك "	B-N		
A-142	"I never need to draw the line."	" لست بحاجة ابدا لان ارسم الحدود "	B-N		
A-143	"I now see that we have to sue McNamara / Troy...	" أرى الآن بأننا يجب أن نقاضي مكنمارا / تروي . . .		HARD	
A-144	"I pray that my actions will cause no further pains.	أدعو الله أن أعمالي لن تسبب المزيد من الألم .	B-N		
A-145	"I regret we aren't a good fit."	" يؤسفني بأننا لم نتوصل لإتفاق "		HARD	
A-146	"I resolve to shave."	" لقد قررت الحلاقة . "	B-N		
A-147	"I run faster than life." "Time is behind me.	" أنا أجري أسرع من الحياة "	B-N		
A-148	"I should keep this. I deserve it.	انه ينبغي علي ان احتفظ بهذه انا استحق هذا	B-N		
A-149	"I should've written the letter when I had the chance. I'm sorry."	لم يكن يجب أن أكتب الخطاب " " عندما واتتني الفرصة ، أنا آسفة	F-N	لم يكن يجب أن أكتب الخطاب " " عندما واتتني الفرصة ، أنا آسف	
A-150	"I shouldn't have thought of it.	" لم يتوجب علي التفكير بذلك "	B-N		
A-151	"I swear, he looks at me like the night"...	" أقسم بأنه ينظر لي مثلما كان يفعل في اليوم الذي التقينا فيه "		HARD	
A-152	"I think I'll stay home."	" أظن أنني سأبقى في المنزل "	B-N		
A-153	"I tried to catch up to him,	" حاولت اللحاق به ، "	B-N		
A-154	"I wanna come see y'all."	" اريد ان يأتوا ويروا بكم . "		HARD	
A-155	"I wanna thank my Lord and Savior Jesus Christ..."	" . . أود أن أشكر ربي والمنقذ المسيح "	B-N		
A-156	"I want something built on a light industrial unit in Leicestershire"?	أريد شيء تم بناءه في وحدة الصناعات الخفيفة ( في ( ليستشير . . . لا ، لأنه	B-N		
A-157	"I want to be normal, but I'm famous" thing.	" قضية " أريد أن أكون طبيعية لكنني شهيرة	F-N	" قضية " أريد أن أكون طبيعي لكنني شهير	
A-158	"I want to die. "	أريد أن أموت	B-N		
A-159	"I was alone, but free.	" كنت وحيدة ، لكن حرة "	F-N	" كنت وحيدا ، لكن حر "	
A-160	"I was driving, she was in the street, it was raining.	" كنت أقود ، كانت في الشارع ، كانت تمطر .	B-N		
A-161	"I was powerful glad to get away from the feuds, and so was Jim to get away from the swamp.	لقد كان سعيدا للإبتعاد عن الخلافات وهكذا جيم أبتعد عن المستنقع	N-N		
A-162	"I was sleeping on a park bench." I mean, my ass!	" لقد كنت نائم علي أريكة في الحديقة " 0 أقصد ، اللعنة ! 0	M-N	" لقد كنت نائمة علي أريكة في الحديقة " 0 أقصد ، اللعنة ! 1	
A-163	"I watch the kids arrive at school.	أرى الأطفال وهم في المدرسة	B-N		
A-164	"I will always be a winner."	" فسأكون دائما رابحا	F-N	" فسأكون دائما رابحة	
A-165	"I will endure...	" سأتحمل . . . "	B-N		
A-166	"I will fight no more forever."	" أنا لن أحارب للأبد "	B-N		
A-167	"I will handle the camera."	" سأتولى أمر الكاميرا . "	B-N		
A-168	"I wonder if I've been changed in the night."	أتساءل إن كنت أتغير بالليل	B-N		
A-169	"I would nonetheless esteem it a favour.	أود على الرغم من ذلك تقدير جميلك	B-B		
A-170	"I would pay top dollar for the Right Nigger".	" سأدفع مبلغا ضخما للزنجي الصحيح "	B-N		
A-171	"I'll be out of this asylum by the end of term."	سوف اخرج من هذا الملجأ بنهاية الفصل الدراسي	B-N		
A-172	"I'll burn all the silver, too, and end the game."	، سأحرق الفضه جميعها ، أيضا وتنتهي اللعبة . . وحينها	B-N		
A-173	"I'll change my way..."	" . . . سأغير طريقي "	B-N		
A-174	"I'll never have a girl like that	لنأحظى بفتاة كهذهأبدا . . .	B-S		لنأحظى - كهذهأبدا
A-175	"I'll think it over first"	" سأفكر بالموضوع اولا "	B-N		
A-176	"I'm Italian.	" أنا إيطالية .	F-N	" أنا إيطالي .	
A-177	"I'm figuring out my options.	أنا أفكر بخياراتي "	B-N		
A-178	"I'm going to have to accept." (LAUGHING)	" سيكون عندي قبول	B-N		
A-179	"I'm gonna change this world."	سأغير هذا العالم	B-N		
A-180	"I'm gonna find that juror," vows Jessica Day!	سأجد هذا القاضي " قسم جيسكا داي "	B-N		
A-181	"I'm in the market for security services."	" أنا في السوق لأجهزة الأمن . "	B-N		
A-182	"I'm not a man of too many faces The mask I wear is one"	" لست رجل بأوجه متعدده القناع الذى ارتديه واحد "	F-N	" لست امرأة بأوجه متعدده القناع الذى ارتديه واحد "	
A-183	"I'm sorry I was never much of a father.	آسف لأنى لم أكن والدا جيدا	M-N	آسفة لأنى لم أكن أما جيدة	
A-184	"I'm sorry we lived in a commune in Argentina."	" ( أنا آسفة لعيشنا في قرية في ( الأرجنتين "	F-N	" ( أنا آسف لعيشنا في قرية في ( الأرجنتين "	
A-185	"I'm sorry, Sir or Madam, I'm not qualified	" أنا آسف ياسيدي أو سيدتي ، فأنا لست مؤهلة		HARD	
A-186	"I've carved out a piece of turf for myself I took it" end quote.	" إقتطعة قطعة من المرج لنفسي أخذته " نهاية الإقتباس .	B-N		
A-187	"I've just seen the doctor and I'm going down to Manderley right away.	لقد قابلت الطبيب وسأعود إلى " ماندرلاى " الآن	B-N		
A-188	"I've lost...my sweetheart."	لقد فقدت حبيبتي	B-N		
A-189	"I've understood the visions.	" لقد فهمت الرؤيا	B-N		
A-190	"If I could, I'd say to David	لو كان ( ديفيد ) أمامي لأخبرته	B-N		
A-191	"If I don't go, who's gonna go in place of me?"	" إن لم أذهب ، من سيذهب بدلا مني ؟ "	B-N		
A-192	"If I don't make it back in time for dinner, it probably didn't go so well."	إن لم أعد على العشاء فربما لأن الأمور لم تسر بشكل جيد	B-N		
A-193	"If I don't need lunch maybe I don't need breakfast or dinner, either."	لو أني لا أحتاج الغداء فربما لا أحتاج للفطور والعشاء أيضا	B-N		
A-194	"If this is poverty, I can't wait to see chastity..."	إن كان هذا هو الفقر " " فإنني متشوق لرؤية العفة	M-N	إن كان هذا هو الفقر " " فإنني متشوقة لرؤية العفة	
A-195	"In Jesus' name I pray."	" في اسم يسوع المسيح أصلي "	B-N		
A-196	"Instead, I saw how far I have to go"	" وبدلا من ذلك ، رأيت مدى أجد لزاما علي ان اذهب "	B-N		Bad translation
A-197	"It is my pass time to take others for ride."	" وإني لتمرير الوقت لاتخاذ الآخرين لركوب "	B-N		Bad translation
A-198	"It meant something to me. "	عنى لي الكثير	B-N		
A-199	"It's on." I'm pretty sure this is not my phone.	انا متاكد ان هذا ليس هاتفي	M-N	انا متاكدة ان هذا ليس هاتفي	
A-200	"Judy King skips out on prison." They will crucify me.	" جودي كينج ) تهرب من السجن ) " سيهاجمونني		HARD	
A-201	"Killing me softly with his song	يقتلني بنعومة بأغنيته "	B-N		
A-202	"Lenient" makes me sound weak.	كلمة " متساهل " تجعلني أشعر بأني ضعيف	M-N	كلمة " متساهلة " تجعلني أشعر بأني ضعيفة	
A-203	"Leonard identifies with me...	ليونارد يعرف نفسه	N-N		
A-204	"Let me get this straight."	" دعنى أستوضح ما تفعله "	B-N		
A-205	"Like, oh, well, I do this, and then I get to work with the bands I'm really passionate about,"	" سأفعل هذا ثم سأذهب للعمل " " مع الفرق التي أنا حقا متحمسة بشأنها "	F-N	" سأفعل هذا ثم سأذهب للعمل " " مع الفرق التي أنا حقا متحمس بشأنها "	
A-206	"Look, I don't have time right now", whatever, but, well, I do it.	أقول له : ليس لدي وقت الآن أيا كان لكني أفعلها	B-N		
A-207	"Me, me...	من أجلي أنا لي ، لي أنا ، أنا ، أنا	B-N		
A-208	"Meet me in L.A. Things will be very hot. Nuclear hot. "	قابلني في ( لوس أنجلوس ) الأمور ستكون مثيرة للغاية ، لدرجة نووية	B-M	قابليني في ( لوس أنجلوس ) الأمور ستكون مثيرة للغاية ، لدرجة نووية	
A-209	"Mend the fence." He's already mended my fence twice.	يصلح السور ؟ لقد اصلح السور مرتين	N-N		
A-210	"Music is my passion.	" الموسيقى هي هوايتي "	B-N		
A-211	"My back hurts.	\ " ظهري يؤلمني .	B-N		
A-212	"My bond to the Jew is forfeit and since in paying it, it is impossible I should live,	حل موعد دينى إلى اليهودي ولن أكون حيا بعد الوفاء به	B-N		
A-213	"My dearest daughter Vivian,	" إبنتى الغاليه " فيفيان	B-F	" إبنى الغالي " فيفيان	
A-214	"My heart's restless, it's eager.."	" قلبي مضطرب . .	B-N		
A-215	"My life... 0h..."	. . . حياتي	B-N		
A-216	"My love is durable"	" حبي متين "	B-N		
A-217	"My love, this is where..."	حبي ، هذا حيث	B-N		
A-218	"My mother had the same earrings "	- من المضحك أن أمي كان لديها نفس أقراط الأذن .	B-N		
A-219	"My mother was crying and begging,	والدتي كانت تبكي وتنتحب	B-N		
A-220	"My name is Anil Singh and she's my wife Nandini."	اسمي أنيل سينغ ، وزوجتي ناندني	B-N		
A-221	"My palanquin lies empty"	محفتى هبطت فارغة	B-N		
A-222	"My screams.	" صرخاتي "	B-N		
A-223	"My sleeve is wet of my tears...	كمي مبلل بدموعي . . .	B-N		
A-224	"My turn."	. دورى	B-N		
A-225	"My watch survived the explosion completely unscathed.	- * ساعتي نجت من الإنفجار من غير أضرار تماما *	B-N		
A-226	"My" is the personal adjective...	انا ، هي الضمير الشخصي		HARD	
A-227	"Naked and naked, I shall return."	" عاريا ثم عاريا سأبعث "	M-N	" عارية ثم عارية سأبعث "	
A-228	"Nature versus Nurture: I wonder who my birth parents are"	الطبيعة في مواجهة الغذاء " أتسائل من يكون أهلي الحقيقيون	B-N		
A-229	"No Sinha, I haven't accomplished even a thousandth of what I want to"	كلا ، ( سينا ) لم أنجز حتى جزء من الألف مما أريد .	B-B		
A-230	"No little girl can ever make me come." Jesus!	" لا بنت صغيرة تستطيع أبدا إجعلني جئت . " يسوع .		HARD	
A-231	"No, I didn't"	كلا لم أكن هناك	B-N		
A-232	"No, I'm standing"	لا . أنا واقف	M-N	لا . أنا واقفة	
A-233	"Now I don't like him."	" لا أحبه الآن "	B-N		
A-234	"Now when I was a young boy	" لما كنت عيل صغير	M-N	" لما كنت عيلة صغيرة	
A-235	"Oh yeah, I'm going to do it first"	" أوه نعم ، أنا ذاهب الى القيام بذلك أولا "	B-S		
A-236	"Oh, Mr Edouard, I so love our lessons.	" أحب دروسي .	B-N		
A-237	"Oh, my God" is right.	" يا إلهي " هذا صحيح		HARD	
A-238	"Oh, my God, it's coming right at us!"	" يا إلهي إنه يقترب إلينا "		HARD	
A-239	"Oh, yeah, so and so started calling me Dee."	حسنا	B-N		Bad translation
A-240	"Only I can bring her back.	- المعتاد قليلا فأنا الوحيدة التي - يمكنني إعادتها	F-N	- المعتاد قليلا فأنا الوحيد الذي - يمكنني إعادتها	
A-241	"Only ten percent" is going to cost my client a thousand bucks.	عشرة بالمائه ستكلف موكلي الف دولار	B-N		
A-242	"Ooh, I need mental help treatment," and so forth.	" أريد مساعدة نفسية " . وما إلى ذلك	B-N		
A-243	"Or do I have to call the police?"	" أو يجب أن أتصل بالشرطة "	B-N		
A-244	"Pick me, not her."	اختارني بدلا عنها	B-N		
A-245	"Please don't leave me."	" من فضلك لا تترك لي . "	B-M	" من فضلك لا تتركي لي . "	" من فضلك لا تتركيني . "
A-246	"Please find out what really happened to me."	- إكتشفوا رجاءا ما حصل لي فعلا " . "	B-M!	- إكتشفن رجاءا ما حصل لي فعلا " . "	
A-247	"Red Forman was habitually ill-tempered." Am I ill-tempered?	" رد فورما ) داءما عكر المزاج ) " هل أنا عكر المزاج ؟		HARD	
A-248	"Right here in Vancouver I'm gonna get a lover."	" هنا في فانكوفر سيصبح لي حبيب "	B-N		
A-249	"Right now, I'm the regional management supervisor.	أعمل في البحث والإستشارة والتطوير "	B-N		
A-250	"SKID". "Down I go again! What's making me fall?"	- هنا " ! " على الأرض مرة أخرى مالذى يجعلني اسقط ؟ "	B-S		مالذى
