B-38	"Here, take a swig of this. It'll put hair on your topcoat."	" هنا ، خذ جرعة من هذا سيشعرك بالدفء . "	N-M	" هنا ، خذي جرعة من هذا سيشعرك بالدفء . "	
B-39	"Hey, Clark, you were Blur-rific."	يا ( كلارك ) ، أنت " ( بقعة ) رائع "		HARD	
B-40	"How does it feel to see someone die for you?"	كيف تشعرين عندما ترين شخصا يموت لأجلك ؟	N-F	كيف تشعر عندما ترى شخصا يموت لأجلك ؟	
B-41	"If you can achieve something great, then don't think about how the process may be. "	" إذا حققت شيئا عظيما فلا تفكر كيف ستكون الطريقة "	N-M	" إذا حققت شيئا عظيما فلا تفكري كيف ستكون الطريقة "	
B-42	"If you were to die this evening with no opportunity	إن كنت ستموت الليلة دون " " ، أي فرصة للتواصل مع أحد	N-M	إن كنت ستموتين الليلة دون " " ، أي فرصة للتواصل مع أحد	
B-43	"If you're looking for the lawyer from Dallas...	" إن كنت تبحثين عن المحامي من ( دالاس ) . . .	N-F	" إن كنت تبحث عن المحامي من ( دالاس ) . . .	
B-44	"In the end, those same people will make you wish you'd never met them. "	في النهاية ، يجعلك الأشخاص نفسهم " " أن تتمنى أنك لم تقابلهم	N-M	في النهاية ، يجعلك الأشخاص نفسهم " " أن تتمني أنك لم تقابليهم	
B-45	"In the silence of your desert, don't you hear a voice calling you?"	" في صمت صحراءك ألا تسمع صوت يناديك ؟ "	N-M	" في صمت صحراءك ألا تسمعين صوت يناديك ؟ "	
B-46	"Is there anything you want?	" هل هناك أي شئ تريد ؟	N-M	" هل هناك أي شئ تريدين ؟	
B-47	"Isn't God or your mother."	" ليس الاله او امك . "	N-B		
B-48	"Just hold on." But you weren't coming.	" فقط إنتظر . " لكنك لم تحضر	N-M	" فقط إنتظري . " لكنك لم تحضري	
B-49	"Let us use your woods," they said, "and we'll keep the camp afloat."	" دعنا نستعمل غابتك ، " قالوا لي ، " وسنحافظ على المخيم " .		HARD	
B-50	"Listen, you know who was there last night?"	" اسمع ، انت تعرف ان هناك من كان في الليلة الماضية ؟ "	N-M	" اسمعي ، انت تعرفين ان هناك من كان في الليلة الماضية ؟ "	
B-51	"Maybe catch you, too."	وربما ألحقك أنتى أيضا	B-F	وربما ألحقك أنت أيضا	
B-52	"Maybe one day you'll end up coming to London."	أحبك ، جلوريا قريبا ستنتهي ماما من مهامها حول العالم	B-B		
B-53	"Meet you at the top floor bar at Crown in the afternoon."	" أقابلك في الطابق العلوي ل ( حانة التاج ) بعد الظهر . "	B-B		
B-54	"Mind your own business."	" إهتم بأمورك الخاصة "	N-M	" اهتمي بأمورك الخاصة "	
B-55	"No, Lord has made you a journalist. You should publish..." ...the tortures on the poor make our voice reach the govt.	أنت صحفى أكتب عنا	B!-M	أنت صحفية اكتبي عنا	
B-56	"No, it's fine. You're not gonna need to worry about it at all." Are there a lot of landmines in this area?	كلا لا باس لن اقلق على الاطلاق هل هناك الكثير من الالغام في هذه المنطقة ؟	B-N		
B-57	"Oh, Grandma, what big eyes you've got!"	" ياه ، يا جدتي ، كم هي واسعة عيناك ! "	B-F	" ياه ، يا جدي ، كم هي واسعة عيناك ! "	
B-58	"Please be advised, you have until the end of the month	انها ستقضي الليلة مع خليلها	N-N		
B-59	"Raymond, you're such a great writer, you could've been writing poetry."	رايموند أنت بالفعل كاتب عظيم لكنت أصبحت شاعرا	N-M	رايموند أنت بالفعل كاتبة عظيمة لكنت أصبحت شاعرة	
B-60	"Rot In Hell, You Maggoty Whore"?	" تعفني في الجحيم أيتها العاهرة " ؟	N-F	" تعفن في الجحيم أيها العاهر " ؟	
B-61	"Scott's different and everything's gonna work out because we're in love." Well, if that's what you believe, then you're already dead.	" سكوت " مختلف وكل شيء سينجح لأننا مغرمين حسنا ، لو كان هذا ما تصديقه ، فأنت ميتة بالفعل		HARD	
B-62	"Screw you, creepo!"	تبا لك ، يا أحمق	B-M	تبا لك ، يا حمقاء	
B-63	"See you soon." Yeah.	- أراك قريبا " " - أجل	B-B		
B-64	"Silk, if you please."	" الحرير ، إذا كنت من فضلك . "	N-B		
B-65	"Sorry to disturb you this late at night!"	أعتذر على إزعاجك في هذا الوقت المتأخر من الليل	B-B		
B-66	"Sorry, people can, but you show us your bum ? " Come on!	لنقول له المعذرة يا سيدي و لكن جاءت 80 ميلا لتظهر لنا مؤخرتك	B!-M	لنقول له المعذرة يا سيدتي و لكن جاءت 80 ميلا لتظهري لنا مؤخرتك	Bad translation
B-67	"Speak from your heart"? What kind of advice is that?	" تحدث من قلبك " ما نوع هذه النصيحة ؟	B-M	" تحدثي من قلبك " ما نوع هذه النصيحة ؟	
B-68	"Tell your dad that Angel says 'fuck you."' [OVER PHONE] Who the fuck is Angel?	اخبري والدك أن ( آنجيل ) تقول لك " " تبا لك !	B-M	اخبر والدك أن ( آنجيل ) تقول لك " " تبا لك !	
B-69	"Thank you,Milton." "No,thank you,jennifer"	شكرا ميلتون كلا شكرا لك جينيفر		HARD	
B-70	"Thank you.	" شكرا لكم "	B-M!	" شكرا لكن "	
B-71	"The bad news is, you got cancer." "And the more bad news?"	الخبر السئ هو ، انك مصاب بالسرطان . والمزيد من الأخبار السيئه ؟	N-B		
B-72	"The secretary will disavow all knowledge of your actions."	" الوزير سينكر كل المعرفة بأفعالك " .	N-B		
B-73	"Then be not coy but use your time, and while ye may go marry.	" لذا لا تخجل أبدا ، بل استغل وقتك ، وما دمت تستطيع ، فتزوج "	N-M	" لذا لا تخجلي أبدا ، بل استغلي وقتك ، وما دمت تستطيعين ، فتزوجي "	
B-74	"This is your son," He said, looking at Mary.	هذا هو إبنك " لقد قالها " وهو ينظر الى مريم	N-B		
B-75	"To make God laugh, tell Him your plans".	" لتضحك الاله . قل له خططك "	N-M	" لتضحك الاله . قولي له خططك "	لتضحك
B-76	"Twitch your feet.	حركي قدمك	N-F	حرك قدمك	
B-77	"Use your eyes".	" لتستخدمى عينيك " .	N-F	" لتستخدم عينيك " .	
B-78	"We know you ran Bo's protection racket into the dirt.' '	أننا نعرف إدارتك ابتزاز " بو " من خلال القذارة	B!-B		
B-79	"We're going to treat you like The King of Brit"	" ( فسنعاملك مثل ملك ( بريت "	B!-M	" ( فسنعاملك مثل ملكة ( بريت "	
B-80	"Well, sir, what if you should break your neck on the shore, or lose your leg in a car crash?"	حسنا ، سيدى ، ماذا لو دق عنقك على شاطئ ، أو فقدت رجلك فى حادث سيارة ؟	B-M	حسنا ، سيدتى ، ماذا لو دق عنقك على شاطئ ، أو فقدت رجلك فى حادث سيارة ؟	
B-81	"Well, they just said, "Sorry, Mr Hull, we can't do any more for you.""	" حسنا ، قالوا فقط : آسفون يا سيد ( هول ) ، ليس بمقدورنا فعل أى شئ آخر لك . "		HARD	
B-82	"Were you alone or was Stuart Nicklin with you?	أكنت وحدك ام ستيوارت نيكلن معك ؟	N-B		
B-83	"What To Expect When You're Expecting."	" ماذا تتوقع حينما تتوقعه " [ كتاب للحوامل ] !	N-B		
B-84	"What are you" mumbling about in here?	بماذا تفكر ؟	N-M	بماذا تفكرين ؟	
B-85	"What do you do?"	ماذا تعمل ؟	N-M	ماذا تعملين ؟	
B-86	"What have you done with all these good things" "that have been given you?"	" ماذا فعلت بكل ماحبيت من خيرات ؟ "	N-B		
B-87	"What is your favorite pasta?"	" ما هي معكرونتك المفضلة ؟ "	N-B		
B-88	"What's with you, Armando?"	ما خطبك ( أرماندو ) ؟	N-B		
B-89	"Where are you going, stream?	" إلى أين أنت ماض ، أيها النهر ؟ "		HARD	
B-90	"Where have you been hiding"	أين تختبئ	N-M	أين تختبئين	
B-91	"Why you spending money on a mansion in the Valley?"	نيك هل يمكنني التحدث معك لحظة ؟	B-B		
B-92	"You are going to win this race."	" ستربحين هذا السباق "	N-F	" ستربح هذا السباق "	
B-93	"You be courageous, stand up to those blacks, those Jew lawyers, goddamn liberal judges."	" كن شجاعا ، وقف في وجه أولئك السود ، أولئك المحامين اليهود سحقا لقضاة الليبرالية الملاعين "	N-M	" كوني شجاعة ، وقف في وجه أولئك السود ، أولئك المحامين اليهود سحقا لقضاة الليبرالية الملاعين "	
B-94	"You been screwin' the milkman!"	" لقد كنت تعبثين مع بائع الحليب "	N-F	" لقد كنت تعبث مع بائع الحليب "	
B-95	"You do the math."	" قم أنت بالحسابات "	N-M	" قومي أنت بالحسابات "	
B-96	"You let out a fart, didn't you?"	" لقد أطلقت ريحا ، أليس كذلك ؟ "	N-B		
B-97	"You must have done something to drive daddy away."	" كان ينبغي أن تفعلي شيئا لدفع أبي بعيدا عنها " .	B-F	" كان ينبغي أن تفعل شيئا لدفع أبي بعيدا عنها " .	
B-98	"You race like you fix roads. "	" انت تقود وكأنك تقوم بإصلاح الطرق "	N-M	" انت تقودين وكأنك تقومين بإصلاح الطرق "	
B-99	"You saved the little ones."	" أنت أنقذت الاطفال الصغار . "	N-B		
B-100	"You say, " you're very pretty, but what about your little earlobes?	قل : إنك جميلة جدا ، لكن ما بال شحمة إذنيك ؟		HARD	
B-101	"You'll always find them frozen in time. - Enough. Say nothing more, Dev"	هذه اللحظة لن تمر وستبقى دائما ، كفى لا تقل المزيد . . .	N-M	هذه اللحظة لن تمر وستبقى دائما ، كفى لا تقولي المزيد . . .	
B-102	"You're a filthy coward.	" انتم شله فاحشه . .	N-M!	" انتن شله فاحشه . .	
B-103	"You're a-peeling. Let's never split!"	" أنت قشرة ، دعينا لا نفترق "		HARD	
B-104	"You're cheap, dear	أنت رخيصة يا عزيزتي	B-F	أنت رخيص يا عزيزي	
B-105	"You're just trying to punch people...	" أنت فقط تريد ضرب الناس . . . "	N-M	" أنت فقط تريدين ضرب الناس . . . "	
B-106	"You're only as rich as you feel."	أنت غنيا بمشاعرك	N-M	أنت غنية بمشاعرك	
B-107	"You're right. You're always right."	" آنت محق ، آنت دائما محق "	N-M	" آنت محقة ، آنت دائما محقة "	
B-108	"You're so bald, when you wear a turtleneck, you look like roll-on deodorant,"	أنت أصلع لدرجة أنه عندما ترتدي بلوزة تغطي العنق تبدو كمزيل العرق الجامد		HARD	
B-109	"Young man, you have got it. "	انت يا برنس	N-M	أنت يا برنسيسة	
B-110	"Your addiction has brought back	إدمانك أعاد إلي ذاكرتي "	B-B		
B-111	"Your jokes suck. You walk like a peacock."	ويطلب منى ان اغنى	B-N		
B-112	"Your kohl eyes look beautiful."	" إن كحل عينيك يبدو جميلا . "	N-B		
B-113	"Your mom is going away."	" والدتك سترحل بعيدا . "	N-B		
B-114	"Your mother, Bernice. "	مساء الخير .	N-N		
B-115	"Your priceless painting murdered a man, please can we have it"?	" لوحتكم الثمينة قامت بقتل رجل لذا سنقوم بمصادرتها " ؟ لكن ( ستوكوسكي ) هي من اتصلت بنا	B!-M!	" لوحتكن الثمينة قامت بقتل رجل لذا سنقوم بمصادرتها " ؟ لكن ( ستوكوسكي ) هي من اتصلت بنا	
B-116	"and your family will pay for your sinister crimes in the forest."	" وعائلتك ستدفع جراء جرائمك في الغابة "	N-B		
B-117	"and your life was ruined, but hey, at least you get to know what happened to him. "	و حياتك دمرت و لكن لحظة على الأقل استطعت ان تعرفي ما الذي حدث له	N-F	و حياتك دمرت و لكن لحظة على الأقل استطعت ان تعرف ما الذي حدث له	
B-118	"are you by any chance involved in an enormous...	هل عندك اى فرصه للاشتراك فى	N-B		
B-119	"but, you're not one to be wooed by praise"	لكنك لست من النوع الذي يحب المجاملات	N-B		
B-120	"evidence for your future audit."	" أدلة من أجل التدقيق في مستقبلك " .	N-B		
B-121	"lf you believe, clap your hands.	لو أنك تؤمن ، صفق بيديك "	N-M	لو أنك تؤمنين ، صفقي بيديك "	
B-122	"oh!" you know?	فهمت " أتعرف "	N-M	فهمتي " أتعرفين "	
B-123	"or take it, it's all yours"	" او خذه ويصبح ملكا لك "	N-M	" او خذيه ويصبح ملكا لك "	
B-124	"so how about a couple of pictures for your personal collection?"	- مارأيك ببعض الصور لمجموعتك ؟	N-B		
B-125	"so what? When a doctor gives you a pill, he's playing god	وماذا في ذلك عندما يصرف الطبيب الأدوية يلعب دور الإله	N-N		
B-126	"that Joe, Peter and Quagmire were with you last night.	( أن ( جو ) ، ( بيتر ) و ( كواغماير كانوا معك الليلة الماضية	N-B		
B-127	"that you are not alone	أنك لست وحيده	N-F	أنك لست وحيدا	
B-128	"the answer, to use a term generally understood" "but the specifics of which you cannot imagine"	" الجواب ، باستعمال كلمة مفهومة عموما ، لكن بخصائص لا يمكن تخيلها ،	N-N		
B-129	"the school is excited and proud of your accomplishments."	ونحن فخورين بإنجازاتك	B!-B		
B-130	"then your Queen commands you to set the gentlemen to work."	ثم الملك يأمر شعبه للعمل	N-N		
B-131	"to communicate with anyone, what would you most regret not having told someone?"	ما الذي ستندم أنك لم تقله " " إلى شخص ما ؟	N-M	ما الذي ستندمين أنك لم تقوليه " " إلى شخص ما ؟	
B-132	"what do you want to drink?"	" ماذا تريدون أن تشربون ؟ "	N-M!	" ماذا تريدن أن تشربن ؟ "	
B-133	"you can return to base camp".	ولم تكون هناك اي اشارة للحارس	N-N		
B-134	"you catch more flies with honey"?	" يمكنك اصطياد ذباب أكثر بواسطة العسل " ؟	N-B		
B-135	"you're gonna be the branch that she can grab	سوف تكون كالغصن التي تستطيع إقتلاعه	N-M	سوف تكونين كالغصن التي تستطيع إقتلاعه	Bad translation 
B-136	#And a- Then take your money #	" و . . . ثم آخذ مالك ، كل ما أبغي فعله و . . . "	B-N		Bad translation
B-137	#And give you peace #	* وأعطاكم السلام * * وأعطاكم السلام * * وأعطاكم السلام *	N-M!	* وأعطاكن السلام * * وأعطاكن السلام * * وأعطاكن السلام *	
B-138	#And if you want to be high, be high #	وإذا أردت أن تعلو فاعلو	N-M	وإذا أردت أن تعلي فاعلي	
B-139	#And you can no longer see	فريق الترجمة في منتديات الأقلاع يتمنى لكم مشاهدة ممتعة	N-M!	فريق الترجمة في منتديات الأقلاع يتمنى لكن مشاهدة ممتعة	
B-140	#Burning from wanting youWOMAN:	( 2013 ) عام لم تكن يوما كيف	N-N		Bad translation
B-141	#Gonna get drunk Don't you have no fear #	سأثمل لاتخف	B-M	سأثمل لاتخافي	
B-142	#He's not just in your mind	ليس لأنه من نسج خيالك	N-B		
B-143	#How can you say never change? #	#كيف تقول أبدا لا يتغير ؟	N-M	#كيف تقولين أبدا لا يتغير ؟	
B-144	#If you feel like you want to make love #	إذا كنت تشعر كأنت تريد الحب #	B-S		
B-145	#If you twist	#إذا تلف	B-S		
B-146	#Once you bounce through the whole selection #	#عندما تثب خلال الإختيار الكامل #	N-M	#عندما تثبين خلال الإختيار الكامل #	
B-147	#Serving as your foe on His behalf #	#لكي يكون خصمك في معركته معك #	N-B		
B-148	#Show you	#يشوفك		HARD	Colloquial
B-149	#So how do you measure the worth of a man #	#إذا كيف تقيس قيمة الإنسان #	N-M	#إذا كيف تقيسين قيمة الإنسان #	
B-150	#They greet you and say	تحييك و تقول	N-B		
B-151	#To wash and clean your clothes up	لغسل وتنظيف ملابسك	N-B		
B-152	#We'll paint on your hands and feet	#نحن سنصبغ على أيديك وأقدامك	B!-B		
B-153	#Well, some things you can explain away #	#حسنا ، حبيبتي إن بعض الاشياء يمكنك تفسيرها بصعوبة.	B-F	#حسنا ، حبيبي إن بعض الاشياء يمكنك تفسيرها بصعوبة.	
B-154	#What you're feeling #	#بما تشعر.	N-M	#بما تشعرين.	
B-155	#When you wake up...	#عندما تستيقظ . . .	N-M	#عندما تستيقظين . . .	
B-156	#Why must you call down another blow #	#لماذا يجب أن تدع كل شيء ينهار #	N-M	#لماذا يجب أن تدعي كل شيء ينهار #	
B-157	#You better spy HARD	فمن الأفضل أن تتجسس بحرص	N-M	فمن الأفضل أن تتجسسي بحرص	
B-158	#You love, you love, you love... #	#انتحبي ، انت حبي ، انت حبي . . . #	B-S		
B-159	#You'll find a way to spit it out again	ستجد طريقة للبوح من جديد #	N-M	ستجدين طريقة للبوح من جديد #	
B-160	#One side of an ass, you eat like a chicken,	جانب واحد من المؤخره ، يأكل كالجبان	N-N		
B-161	$50,000 only gets you half.	50 ألف $ سيكون النصف فقط	N-N		
B-162	 Right, where's your ship?	صحيح ، أين سفينتك ؟	N-B		
B-163	73 Dom. Yes, that's his favorite. Thank you.	نعم و لعبة ( دوم 73 ) المفضلة له شكرا لك	B-B		
B-164	Before you do, have a look at her file.'	قبل ان تفعلي ذلك ، القي نظرة على الملف	N-F	قبل ان تفعل ذلك ، ألق نظرة على الملف	
B-165	Cause something's on your mind.	لأن هناك أمر ببالك .	N-B		
B-166	Cause that's who you try to bag. She's the goods.	- لأنها هي المربحة .	N-N		
B-167	Cause we're sort of wondering who you are.	لأننا نتسائل من أنت	B!-B		
B-168	Cause what he's looking for has nothing to do with you. It's got nothing to do with anybody.	لأن ما يبحث عنه لا علاقة له بك لا علاقة له بأي أحد	N-B		
B-169	Cause you broke a bowl, dumb ass.	لأنك كسرت الوعاء أيها المغفل	N-M	لأنك كسرت الوعاء أيتها المغفلة	
B-170	Cause you know what your dad's capable of.	لأنك تعرف قدرات والدك	N-M	لأنك تعرفين قدرات والدك	
B-171	Cause you know you're not supposed to be playing those games anyway.	لأنك تعلم انه لا يجب عليك ان تلعب هذه الالعاب	N-M	لأنك تعلمين انه لا يجب عليك ان تلعبي هذه الالعاب	
B-172	Cause you know, being a parent is a big responsibility.	لأنه وكما تعلمان ، أن تكونا والدين ستكون عليكما . مسؤولية كبيرة	N-B!		
B-173	Cause you thought he might crack.	- لأنك ظننت أنه قد ينهار .	N-B		
B-174	Cause you were always HARD on him.	لأنك دوما كنت تتصنع معه .	N-M	لأنك دوما كنت تتصنعين معه .	
B-175	Cause you're about roughly 20 feet off the ground right now.	لأن أنت على وشك حوالي 20 أقدام فوق الأرض في الوقت الراهن .	N-B		
B-176	Cause you're defenseless, like she was?	لأنك أعزل ، تماما كما كانت هي ؟	N-M	لأنك عزلاء ، تماما كما كانت هي ؟	
B-177	Cause you're looking a little pale.	لأنك تبدين شاحبة قليلا	N-F	لأنك تبدو شاحب قليلا	
B-178	Cause you're wasting time.	قم بتغطيتي - لا - ! لانك تضيع الوقت	B-M	قومي بتغطيتي - لا - ! لانك تضيعين الوقت	
B-179	Cause your condo's in America.	لأنك ملكيتك الخاصة في ( أمريكا )	N-B		
B-180	Cause, you know, crazy people talk a lot and,	لأنك تعرف أن . . . الأشخاص المهووسين يتحدثون كثيرا و	N-M	لأنك تعرفين أن . . . الأشخاص المهووسين يتحدثون كثيرا و	
B-181	Cause, you see, if this clock's broken, and it's the only clock in the room,	لأنهطالماأن هذهالساعة مكسورة . . . وهيالساعة الوحيدة بالغرفة . . .	B-S		
B-182	Course, you know, Dallas Carter. That's a... That's a tough team.	ولكن كما تعلم فريق كارتر فريق . . .	N-M	ولكن كما تعلمين فريق كارتر فريق . . .	
B-183	If you have him, we are begging you, please let him go.	" لو كان عندكم ، نتوسل إليكم من فضلكم أن تطلقوا سراحه "	B!-M!	" لو كان عندكن ، نتوسل إليكن من فضلكن أن تطلقوا سراحه "	
B-184	Is that you Brody?	هل ذلك برودي ؟		HARD	meaningless
B-185	Is your money safe?	هل أموالك بأمان ؟	N-B		
B-186	It is normal to experience fear during your incineration.'	من الطبيعي الشعور بالخوف خلال الموت	N-N		
B-187	Night. Yeah. See you.	طابت ليلتك	N-B		
B-188	No, it could give you a fast...	كلا ، قد يمنحك سرعة . . .	N-B		
B-189	Of course you were, Casey.'	" بالطبع انتي ، كيسي "	N-F	" بالطبع انت ، كيسي "	
B-190	That's why you don't have friends from before that date.'	ذلك السبب أنك لا تملكين أصدقاء قبل ذلك التاريخ	N-F	ذلك السبب أنك لا تملك أصدقاء قبل ذلك التاريخ	
B-191	We wish you a happy new world.'	" نتمنى لكم عالما سعيدا "	B!-M!	" نتمنى لكن عالما سعيدا "	
B-192	Were you sleeping? '	هل كنت نائم ؟	N-M	هل كنت نائمة ؟	
B-193	What's the next thing that you remember? '	ما الشيء التالي الذي تذكرينه ؟	N-F	ما الشيء التالي الذي تذكره ؟	
B-194	You bring her back, you do that.	انت احضرها افعل ذلك	N-M	انت أحضريها افعلي ذلك	
B-195	You can easily hurt yourself if you're not prepared.'	حيث يمكنك أن تؤذي نفسك بسهوله إذا لم تكن مستعدا	N-M	حيث يمكنك أن تؤذي نفسك بسهولة إذا لم تكوني مستعدة	
B-196	You do realise that the swimsuit issue of a sports magazine doesn't count as a book? '	أنت تعلم أن مشكلة بدلة السباحة في احدى المجلات الرياضية لا يعتبر كتابا	N-M	أنت تعلمين أن مشكلة بدلة السباحة في احدى المجلات الرياضية لا يعتبر كتابا	
B-197	You think you're the girl for him.	تعتقدين بأنك الفتاة المناسبة لأجله .	N-F	تعتقد بأنك الفتى المناسب لأجله .	
B-198	You will obey your Dalek Ma	ستطيعون . . .	N-M!	ستطعن . . .	Bad translation
B-199	Your valuables will be transported up from the vault.'	" سيتم نقل ممتلكاتك للأعلى من الخزنة "	N-B		
B-200	cause you asked.	لأنك سألتي عنه	N-F	لأنك سألت عنه	سألتي
B-201	why did you doubt?	لماذا شككت ؟	N-B		
B-202	( Overlapping arguing ) Bup bup bup bup bup. Okay, tell you what.	حسنا ، سأقول لكم ماذا	B-M!	حسنا ، سأقول لكن ماذا	
B-203	(A) You're not real, Josh.	فأولا ، لست حقيقيا يا ( جوش ) .	N-M	فأولا ، لست حقيقية يا ( جوش ) .	
B-204	(Adam) You know, it's, um... it's no secret you tried to attack him in court,	تعلم . . . إنه . . . ليس سرا أنك حاولت مهاجمته فى المحكمة	N-M	تعلمين . . . إنه . . . ليس سرا أنك حاولت مهاجمته فى المحكمة	
B-205	(Beth) Hey, what are you doing here?	- ما الذي تفعله هنا ؟	N-M	- ما الذي تفعلينه هنا ؟	
B-206	(Buddy, voice-over) Thank you, Brother Bob.	شكرا لك ، أيها الأخ بوب	B-M	شكرا لك ، أيتها الأخت بوب	
B-207	(CHUCKLES) Oh, she wants you to throw up some worms into her mouth.	إنها تريدك أن تلقى ببعض الحبوب لها	N-B		
B-208	(Carter) Why is your dad...	كارتر : لماذا والدك . . .	N-B		
B-209	(Clacking) Round and round, and, uh, you get it.	( إحداث صوتا ) جولة وجولة ، و ، اه ، الذي تحصل عليه .	N-M	( إحداث صوتا ) جولة وجولة ، و ، اه ، الذي تحصلين عليه .	
B-210	(Disco music playing) You said to remind him of how we first fell in love.	أنتي قلتي لي أن أذكره كيف وقعنا بحب بعضنا		HARD	قلتي
B-211	(ENGINE CHOKING) Come on, start, you son of a bitch!	هيا ، اعملي . .	N-F	هيا ، اعمل . .	Bad translation
B-212	(Echoing) Leave now, and your lives will be spared!	غادرن الآن ، وانجون بحياتكن !	N-M!	غادرن الآن ، وانجين بحياتكن !	
